,FIPS State Code,CCD District ID,District Name,Total Population,Population of Children 5 to 17 years of Age,Estimated Number of Children in Poverty,File Name,Created Date,Year,Child Poverty Rate
0,12,30,ALACHUA COUNTY SCHOOL DISTRICT,217955,32777,6051,sd99_FL.dat,27FEB2003,1999,0.18461116026481986
1,12,60,BAKER COUNTY SCHOOL DISTRICT,22259,4557,968,sd99_FL.dat,27FEB2003,1999,0.21242045205178844
2,12,90,BAY COUNTY SCHOOL DISTRICT,148217,26663,4928,sd99_FL.dat,27FEB2003,1999,0.18482541349435547
3,12,120,BRADFORD COUNTY SCHOOL DISTRICT,26088,4281,919,sd99_FL.dat,27FEB2003,1999,0.2146694697500584
4,12,150,BREVARD COUNTY SCHOOL DISTRICT,476230,79992,9882,sd99_FL.dat,27FEB2003,1999,0.12353735373537354
5,12,180,BROWARD COUNTY SCHOOL DISTRICT,1623018,279888,39297,sd99_FL.dat,27FEB2003,1999,0.14040258960727148
6,12,210,CALHOUN COUNTY SCHOOL DISTRICT,13017,2254,555,sd99_FL.dat,27FEB2003,1999,0.24622892635314997
7,12,240,CHARLOTTE COUNTY SCHOOL DISTRICT,141627,16932,2367,sd99_FL.dat,27FEB2003,1999,0.13979447200566975
8,12,270,CITRUS COUNTY SCHOOL DISTRICT,118085,15861,3002,sd99_FL.dat,27FEB2003,1999,0.18926927684256983
9,12,300,CLAY COUNTY SCHOOL DISTRICT,140814,30156,2944,sd99_FL.dat,27FEB2003,1999,0.09762567979838174
10,12,330,COLLIER COUNTY SCHOOL DISTRICT,251377,36500,5521,sd99_FL.dat,27FEB2003,1999,0.15126027397260275
11,12,360,COLUMBIA COUNTY SCHOOL DISTRICT,56513,10709,2112,sd99_FL.dat,27FEB2003,1999,0.1972172938649734
12,12,390,DADE COUNTY SCHOOL DISTRICT,2253362,413461,90311,sd99_FL.dat,27FEB2003,1999,0.21842688911408814
13,12,420,DESOTO COUNTY SCHOOL DISTRICT,32209,5437,1466,sd99_FL.dat,27FEB2003,1999,0.2696339893323524
14,12,450,DIXIE COUNTY SCHOOL DISTRICT,13827,2285,644,sd99_FL.dat,27FEB2003,1999,0.2818380743982494
15,12,480,DUVAL COUNTY SCHOOL DISTRICT,778879,148744,22446,sd99_FL.dat,27FEB2003,1999,0.15090356585811865
16,12,510,ESCAMBIA COUNTY SCHOOL DISTRICT,294410,51358,10862,sd99_FL.dat,27FEB2003,1999,0.21149577475758402
17,12,540,FLAGLER COUNTY SCHOOL DISTRICT,49832,6867,1125,sd99_FL.dat,27FEB2003,1999,0.16382699868938402
18,12,570,FRANKLIN COUNTY SCHOOL DISTRICT,9829,1480,353,sd99_FL.dat,27FEB2003,1999,0.23851351351351352
19,12,600,GADSDEN COUNTY SCHOOL DISTRICT,45087,8901,2383,sd99_FL.dat,27FEB2003,1999,0.2677227277833951
20,12,630,GILCHRIST COUNTY SCHOOL DISTRICT,14437,2702,556,sd99_FL.dat,27FEB2003,1999,0.20577350111028866
21,12,660,GLADES COUNTY SCHOOL DISTRICT,10576,1719,364,sd99_FL.dat,27FEB2003,1999,0.21175101803374055
22,12,690,GULF COUNTY SCHOOL DISTRICT,14560,2221,514,sd99_FL.dat,27FEB2003,1999,0.23142728500675372
23,12,720,HAMILTON COUNTY SCHOOL DISTRICT,13327,2297,712,sd99_FL.dat,27FEB2003,1999,0.3099695254680017
24,12,750,HARDEE COUNTY SCHOOL DISTRICT,26938,5370,1535,sd99_FL.dat,27FEB2003,1999,0.28584729981378026
25,12,780,HENDRY COUNTY SCHOOL DISTRICT,36210,8048,2070,sd99_FL.dat,27FEB2003,1999,0.25720675944334
26,12,810,HERNANDO COUNTY SCHOOL DISTRICT,130802,18821,3177,sd99_FL.dat,27FEB2003,1999,0.1688008076085224
27,12,840,HIGHLANDS COUNTY SCHOOL DISTRICT,87366,12534,2947,sd99_FL.dat,27FEB2003,1999,0.23512047231530236
28,12,870,HILLSBOROUGH COUNTY SCHOOL DISTRICT,998948,184694,30385,sd99_FL.dat,27FEB2003,1999,0.1645153605423024
29,12,900,HOLMES COUNTY SCHOOL DISTRICT,18564,3257,908,sd99_FL.dat,27FEB2003,1999,0.2787841571998772
30,12,930,INDIAN RIVER COUNTY SCHOOL DISTRICT,112947,16435,2418,sd99_FL.dat,27FEB2003,1999,0.1471250380285975
31,12,960,JACKSON COUNTY SCHOOL DISTRICT,46755,7891,1741,sd99_FL.dat,27FEB2003,1999,0.22063109872006084
32,12,990,JEFFERSON COUNTY SCHOOL DISTRICT,12902,2248,546,sd99_FL.dat,27FEB2003,1999,0.24288256227758007
33,12,1020,LAFAYETTE COUNTY SCHOOL DISTRICT,7022,1134,256,sd99_FL.dat,27FEB2003,1999,0.2257495590828924
34,12,1050,LAKE COUNTY SCHOOL DISTRICT,210528,31726,5353,sd99_FL.dat,27FEB2003,1999,0.1687259660845994
35,12,1080,LEE COUNTY SCHOOL DISTRICT,440888,63418,9508,sd99_FL.dat,27FEB2003,1999,0.1499258885489924
36,12,1110,LEON COUNTY SCHOOL DISTRICT,239452,37280,5603,sd99_FL.dat,27FEB2003,1999,0.1502950643776824
37,12,1140,LEVY COUNTY SCHOOL DISTRICT,34450,6156,1538,sd99_FL.dat,27FEB2003,1999,0.2498375568551007
38,12,1170,LIBERTY COUNTY SCHOOL DISTRICT,7021,1147,282,sd99_FL.dat,27FEB2003,1999,0.24585876198779424
39,12,1200,MADISON COUNTY SCHOOL DISTRICT,18733,3662,943,sd99_FL.dat,27FEB2003,1999,0.2575095576187875
40,12,1230,MANATEE COUNTY SCHOOL DISTRICT,264002,39745,5866,sd99_FL.dat,27FEB2003,1999,0.1475908919360926
41,12,1260,MARION COUNTY SCHOOL DISTRICT,258916,41937,8266,sd99_FL.dat,27FEB2003,1999,0.19710518158189666
42,12,1290,MARTIN COUNTY SCHOOL DISTRICT,126731,18024,2621,sd99_FL.dat,27FEB2003,1999,0.14541722148246783
43,12,1320,MONROE COUNTY SCHOOL DISTRICT,79589,10143,1458,sd99_FL.dat,27FEB2003,1999,0.14374445430346053
44,12,1350,NASSAU COUNTY SCHOOL DISTRICT,57663,10874,1391,sd99_FL.dat,27FEB2003,1999,0.12791980871804304
45,12,1380,OKALOOSA COUNTY SCHOOL DISTRICT,170498,31290,4152,sd99_FL.dat,27FEB2003,1999,0.13269415148609778
46,12,1410,OKEECHOBEE COUNTY SCHOOL DISTRICT,35910,6796,1355,sd99_FL.dat,27FEB2003,1999,0.19938198940553267
47,12,1440,ORANGE COUNTY SCHOOL DISTRICT,896344,164965,24402,sd99_FL.dat,27FEB2003,1999,0.1479222865456309
48,12,1470,OSCEOLA COUNTY SCHOOL DISTRICT,172493,34494,5338,sd99_FL.dat,27FEB2003,1999,0.15475155099437585
49,12,1500,PALM BEACH COUNTY SCHOOL DISTRICT,1131184,177545,24457,sd99_FL.dat,27FEB2003,1999,0.13775099270607452
50,12,1530,PASCO COUNTY SCHOOL DISTRICT,344765,51380,7887,sd99_FL.dat,27FEB2003,1999,0.1535033086804204
51,12,1560,PINELLAS COUNTY SCHOOL DISTRICT,921482,132179,19170,sd99_FL.dat,27FEB2003,1999,0.14503060244062976
52,12,1590,POLK COUNTY SCHOOL DISTRICT,483924,87019,16229,sd99_FL.dat,27FEB2003,1999,0.18649950010917157
53,12,1620,PUTNAM COUNTY SCHOOL DISTRICT,70423,12978,3591,sd99_FL.dat,27FEB2003,1999,0.2766990291262136
54,12,1650,SANTA ROSA COUNTY SCHOOL DISTRICT,117743,23569,3231,sd99_FL.dat,27FEB2003,1999,0.13708685137256565
55,12,1680,SARASOTA COUNTY SCHOOL DISTRICT,325957,40030,4886,sd99_FL.dat,27FEB2003,1999,0.12205845615788159
56,12,1710,SEMINOLE COUNTY SCHOOL DISTRICT,365196,69544,6773,sd99_FL.dat,27FEB2003,1999,0.09739157943172667
57,12,1740,ST. JOHNS COUNTY SCHOOL DISTRICT,123135,21793,2302,sd99_FL.dat,27FEB2003,1999,0.10563024824484926
58,12,1770,ST. LUCIE COUNTY SCHOOL DISTRICT,192695,32833,6505,sd99_FL.dat,27FEB2003,1999,0.1981238388206987
59,12,1800,SUMTER COUNTY SCHOOL DISTRICT,53345,6462,1634,sd99_FL.dat,27FEB2003,1999,0.2528628907458991
60,12,1830,SUWANNEE COUNTY SCHOOL DISTRICT,34844,6270,1411,sd99_FL.dat,27FEB2003,1999,0.22503987240829346
