District,Corporal Punishment,In-School Suspensions,Out-of-School Suspensions,Expulsions
ALACHUA,1,0,"2,884",0
BAKER,36,102,334,27
BAY,4,"2,896","2,612",1
BRADFORD,0,462,362,1
BREVARD,0,"3,203","7,990",52
BROWARD,0,"24,012","10,274",2
CALHOUN,120,230,53,0
CHARLOTTE,0,"2,120","1,396",11
CITRUS,0,"2,324","1,549",28
CLAY,133,"5,507","3,074",17
COLLIER,0,"3,795","2,391",0
COLUMBIA,0,"1,450","1,376",2
DADE,0,"30,750","24,041",0
DESOTO,28,0,195,6
DIXIE,45,272,165,4
DUVAL,0,"17,264","12,879",0
ESCAMBIA,0,"4,283","4,901",0
FLAGLER,0,"1,670","1,155",1
FRANKLIN,11,355,128,0
GADSDEN,0,391,"1,256",31
GILCHRIST,113,382,254,6
GLADES,7,275,116,1
GULF,133,317,162,0
HAMILTON,13,339,333,9
HARDEE,91,75,317,6
HENDRY,175,502,"1,030",0
HERNANDO,0,"3,783","2,550",5
HIGHLANDS,30,"2,654","1,103",3
HILLSBOROUGH,0,"28,516","12,836",51
HOLMES,296,85,173,1
INDIAN RIVER,0,"1,246","1,742",6
JACKSON,480,824,866,5
JEFFERSON,1,241,179,1
LAFAYETTE,0,170,88,1
LAKE,0,"1,677","4,506",34
LEE,0,"10,018","6,906",12
LEON,0,"2,287","2,492",2
LEVY,104,"1,060",541,2
LIBERTY,43,26,33,0
MADISON,230,646,349,0
MANATEE,0,"4,982","5,599",0
MARION,197,"3,934","5,736",5
MARTIN,0,613,"1,530",0
MONROE,0,952,474,0
NASSAU,29,"1,051",643,1
OKALOOSA,0,637,"2,418",2
OKEECHOBEE,2,"1,159",897,31
ORANGE,0,"14,659","16,187",29
OSCEOLA,0,"3,511","6,625",30
PALM BEACH,0,"13,122","16,042",0
PASCO,0,"8,083","5,309",9
PINELLAS,0,"12,022","7,794",24
POLK,0,"6,562","12,617",14
PUTNAM,0,974,"1,338",8
ST. JOHNS,0,"1,717","2,050",0
ST. LUCIE,0,0,"4,486",11
SANTA ROSA,351,"1,836","1,401",3
SARASOTA,0,"3,167","3,242",75
SEMINOLE,0,"4,363","4,810",48
SUMTER,0,998,844,13
SUWANNEE,206,926,598,2
TAYLOR,0,782,546,0
UNION,114,411,190,0
VOLUSIA,0,"8,818","6,961",0
WAKULLA,142,915,356,5
WALTON,287,740,536,1
WASHINGTON,239,532,280,0
DEAF/BLIND,0,23,15,0
FAU LAB SCH,0,52,49,0
FSU LAB SCH,0,111,37,2
FAMU LAB SCH,0,2,46,3
UF LAB SCH,0,60,51,0
