Student Discipline Data by Race and Gender,,,,,,,,,,,,
"School Year 2014-15, Survey 5 Final Data",,,,,,,,,,,,
"*To provide meaningful results and to protect the privacy of individual students, data are displayed only when the total number of students in a group is at least 10 and when the performance of individuals would not be disclosed. Data for groups less than 10 are displayed with an asterisk (*).",,,,,,,,,,,,
Note:  Totals are unduplicated and students are counted only once for each type of action.,,,,,,,,,,,,
District,District Name,Discipline Description,White,Black or African American,Hispanic/Latino,Asian,Native Hawaiian or Other Pacific Islander,American Indian or Alaska Native,Two or More Races,Female,Male,Total
00,FLORIDA,Corporal Punishment,"1,088",389,126,3,0,1,60,260,"1,407","1,667"
00,FLORIDA,Expelled Without Continuing Educational Services,122,145,70,3,0,4,21,85,280,365
00,FLORIDA,Expelled With Continuing Educational Services,131,131,39,0,0,2,21,96,228,324
00,FLORIDA,Suspension Extended Pending Hearing,145,155,79,1,0,0,14,109,285,394
00,FLORIDA,Suspension In-School,"64,145","74,505","52,936","1,433",206,665,"6,903","68,749","132,044","200,793"
00,FLORIDA,Seclusion,144,127,48,3,0,0,16,79,259,338
00,FLORIDA,Mechanical Restraint,105,26,5,0,0,1,2,45,94,139
00,FLORIDA,Suspension Out-of-School,"48,686","70,423","38,533",822,142,527,"5,860","49,662","115,331","164,993"
00,FLORIDA,Placement in Alternative Educational Setting,"2,067","2,843","1,371",40,6,21,255,"1,913","4,690","6,603"
00,FLORIDA,Physical Restraint,324,205,111,1,0,1,38,126,554,680
00,FLORIDA,Other SES IR Defined,"2,727","6,753","2,139",71,12,30,349,"3,321","8,760","12,081"
00,FLORIDA,Change In Placement,47,103,41,0,1,0,9,28,173,201
01,ALACHUA,Suspension Extended Pending Hearing,*,*,*,*,*,*,*,*,*,*
01,ALACHUA,Suspension Out-of-School,377,"1,392",87,7,1,1,107,624,"1,348","1,972"
01,ALACHUA,Other SES IR Defined,*,*,*,*,*,*,*,*,*,*
02,BAKER,Corporal Punishment,*,*,*,*,*,*,*,*,*,*
02,BAKER,Expelled Without Continuing Educational Services,*,*,*,*,*,*,*,*,*,*
02,BAKER,Suspension In-School,517,120,9,0,0,4,15,248,417,665
02,BAKER,Suspension Out-of-School,251,94,4,0,0,2,12,121,242,363
02,BAKER,Placement in Alternative Educational Setting,36,15,2,0,0,0,3,18,38,56
02,BAKER,Other SES IR Defined,32,6,1,0,0,0,1,9,31,40
03,BAY,Corporal Punishment,*,*,*,*,*,*,*,*,*,*
03,BAY,Expelled Without Continuing Educational Services,*,*,*,*,*,*,*,*,*,*
03,BAY,Expelled With Continuing Educational Services,*,*,*,*,*,*,*,*,*,*
03,BAY,Suspension Extended Pending Hearing,10,7,1,0,0,0,0,4,14,18
03,BAY,Suspension In-School,"1,691",873,180,25,1,6,207,"1,008","1,975","2,983"
03,BAY,Seclusion,26,23,6,0,0,0,5,31,29,60
03,BAY,Mechanical Restraint,*,*,*,*,*,*,*,*,*,*
03,BAY,Suspension Out-of-School,"1,282",782,114,19,1,7,169,660,"1,714","2,374"
03,BAY,Placement in Alternative Educational Setting,49,21,1,0,0,0,4,23,52,75
03,BAY,Other SES IR Defined,11,2,1,0,0,0,3,2,15,17
03,BAY,Change In Placement,*,*,*,*,*,*,*,*,*,*
04,BRADFORD,Corporal Punishment,*,*,*,*,*,*,*,*,*,*
04,BRADFORD,Expelled With Continuing Educational Services,*,*,*,*,*,*,*,*,*,*
04,BRADFORD,Suspension Extended Pending Hearing,*,*,*,*,*,*,*,*,*,*
04,BRADFORD,Suspension In-School,223,130,9,1,0,0,7,120,250,370
04,BRADFORD,Suspension Out-of-School,205,117,8,3,2,0,8,100,243,343
04,BRADFORD,Placement in Alternative Educational Setting,6,4,0,0,0,0,2,2,10,12
04,BRADFORD,Other SES IR Defined,*,*,*,*,*,*,*,*,*,*
05,BREVARD,Expelled Without Continuing Educational Services,18,20,7,1,0,1,8,17,38,55
05,BREVARD,Expelled With Continuing Educational Services,7,9,3,0,0,0,1,2,18,20
