,District,Total Discipline,Year
0,ALACHUA,5791.0,2009
1,BAKER,625.0,2009
2,BAY,4970.0,2009
3,BRADFORD,1054.0,2009
4,BREVARD,10713.0,2009
5,BROWARD,32257.0,2009
6,CALHOUN,466.0,2009
7,CHARLOTTE,3370.0,2009
8,CITRUS,3825.0,2009
9,CLAY,8833.0,2009
10,COLLIER,6946.0,2009
11,COLUMBIA,3118.0,2009
12,DADE,50640.0,2009
13,DESOTO,305.0,2009
14,DIXIE,489.0,2009
15,DUVAL,39702.0,2009
16,ESCAMBIA,9093.0,2009
17,FLAGLER,3023.0,2009
18,FRANKLIN,478.0,2009
19,GADSDEN,2159.0,2009
20,GILCHRIST,701.0,2009
21,GLADES,431.0,2009
22,GULF,756.0,2009
23,HAMILTON,960.0,2009
24,HARDEE,613.0,2009
25,HENDRY,1820.0,2009
26,HERNANDO,6107.0,2009
27,HIGHLANDS,4114.0,2009
28,HILLSBOROUGH,41357.0,2009
29,HOLMES,585.0,2009
30,INDIAN RIVER,3652.0,2009
31,JACKSON,2185.0,2009
32,JEFFERSON,559.0,2009
33,LAFAYETTE,226.0,2009
34,LAKE,6836.0,2009
35,LEE,17605.0,2009
36,LEON,5154.0,2009
37,LEVY,1915.0,2009
38,LIBERTY,170.0,2009
39,MADISON,1166.0,2009
40,MANATEE,10385.0,2009
41,MARION,10061.0,2009
42,MARTIN,2384.0,2009
43,MONROE,1323.0,2009
44,NASSAU,2139.0,2009
45,OKALOOSA,3255.0,2009
46,OKEECHOBEE,1876.0,2009
47,ORANGE,30927.0,2009
48,OSCEOLA,10697.0,2009
49,PALM BEACH,27853.0,2009
50,PASCO,13848.0,2009
51,PINELLAS,23588.0,2009
52,POLK,19412.0,2009
53,PUTNAM,2184.0,2009
54,ST. JOHNS,2993.0,2009
55,ST. LUCIE,10272.0,2009
56,SANTA ROSA,3269.0,2009
57,SARASOTA,6384.0,2009
58,SEMINOLE,9444.0,2009
59,SUMTER,2109.0,2009
60,SUWANNEE,1910.0,2009
61,TAYLOR,1363.0,2009
62,UNION,568.0,2009
63,VOLUSIA,15939.0,2009
64,WAKULLA,1597.0,2009
65,WALTON,1590.0,2009
66,WASHINGTON,1207.0,2009
67,DEAF/BLIND,26.0,2009
68,DOZIER/OKEE,2.0,2009
69,FAU LAB SCH,206.0,2009
70,FSU CHTR SCH,170.0,2009
71,FAMU LAB SCH,38.0,2009
72,UF LAB SCH,96.0,2009
73,ALACHUA,2885.0,2010
74,BAKER,499.0,2010
75,BAY,5513.0,2010
76,BRADFORD,825.0,2010
77,BREVARD,11245.0,2010
78,BROWARD,34288.0,2010
79,CALHOUN,403.0,2010
80,CHARLOTTE,3527.0,2010
81,CITRUS,3901.0,2010
82,CLAY,8731.0,2010
83,COLLIER,6186.0,2010
84,COLUMBIA,2828.0,2010
85,DADE,54791.0,2010
86,DESOTO,229.0,2010
87,DIXIE,486.0,2010
88,DUVAL,30143.0,2010
89,ESCAMBIA,9184.0,2010
90,FLAGLER,2826.0,2010
91,FRANKLIN,494.0,2010
92,GADSDEN,1678.0,2010
93,GILCHRIST,755.0,2010
94,GLADES,399.0,2010
95,GULF,612.0,2010
96,HAMILTON,694.0,2010
97,HARDEE,489.0,2010
98,HENDRY,1707.0,2010
99,HERNANDO,6338.0,2010
100,HIGHLANDS,3790.0,2010
