District Number,District Name,% Meeting High Standards in Reading,% Meeting High Standards in Math,% Meeting High Standards in Writing,% Meeting High Standards in Science,% Making Reading Gains ,% Making Math Gains,% of Lowest 25% Making Learning Gains in Reading ,% of Lowest 25% Making Learning Gains in Math,Points Earned (Sum of Previous 8 Columns),Percent Tested,50% or More of Lowest 25% of Readers Making Learning Gains - 2008,50% or More of Lowest 25% of Students Making Learning Gains in Math - 2008,50% or More of Lowest 25% of Readers Making Learning Gains - 2009,50% or More of Lowest 25% of Students Making Learning Gains in Math - 2009,Grade 09,Grade 08,Grade 07,Grade 06,Grade 05,Grade 04
01,ALACHUA,69,72,90,51,62,69,56,63,532,98,YES,YES,YES,YES,A,A,A,A,B,B
02,BAKER,64,74,80,42,57,71,56,65,509,98,YES,YES,YES,YES,B,B,C,C,C,C
03,BAY,74,77,80,51,64,70,59,62,537,99,YES,YES,YES,YES,A,A,B,A,B,B
04,BRADFORD,60,66,79,36,54,66,56,66,483,97,YES,YES,YES,YES,C,C,C,C,C,C
05,BREVARD,78,84,90,64,66,74,62,65,583,99,YES,YES,YES,YES,A,A,A,A,A,A
06,BROWARD,67,76,92,45,64,72,61,65,542,99,YES,YES,YES,YES,A,A,B,A,B,B
07,CALHOUN,76,81,80,51,64,67,62,61,542,99,YES,YES,YES,YES,A,A,A,A,A,A
08,CHARLOTTE,72,79,90,51,63,72,63,66,556,99,YES,YES,YES,YES,A,A,A,A,A,A
09,CITRUS,70,77,88,52,61,70,58,66,542,99,YES,YES,YES,YES,A,A,A,A,B,B
10,CLAY,74,79,86,51,64,70,61,64,549,99,YES,YES,YES,YES,A,A,A,A,A,A
11,COLLIER,67,72,86,43,65,71,63,66,533,99,YES,YES,YES,YES,A,B,B,B,B,B
12,COLUMBIA,67,70,90,40,61,67,58,63,516,99,YES,YES,YES,YES,B,B,C,C,C,C
13,DADE,62,69,88,40,63,69,63,67,521,99,YES,YES,YES,YES,B,B,C,B,B,C
14,DESOTO,59,69,84,29,61,67,64,63,496,99,YES,YES,YES,YES,B,B,C,C,C,C
15,DIXIE,67,71,86,43,63,67,59,68,524,99,YES,YES,YES,YES,B,A,B,B,C,C
16,DUVAL,63,68,85,45,59,70,57,65,512,98,YES,YES,YES,YES,B,B,C,B,B,C
17,ESCAMBIA,65,68,87,43,61,68,61,63,516,99,YES,YES,YES,YES,B,B,C,B,C,C
18,FLAGLER,69,72,89,48,61,68,59,61,527,99,YES,YES,YES,YES,A,A,B,B,B,B
19,FRANKLIN,63,68,76,41,61,68,61,62,500,98,YES,YES,YES,YES,B,C,C,C,C,C
20,GADSDEN,44,54,86,22,52,63,58,67,446,98,YES,YES,YES,YES,C,C,F,C,D,D
21,GILCHRIST,82,84,91,60,68,70,68,62,585,100,YES,YES,YES,YES,A,A,A,A,A,A
22,GLADES,64,74,82,32,61,70,58,72,513,99,YES,YES,YES,YES,B,B,C,C,C,C
23,GULF,70,75,88,45,60,70,58,66,532,99,YES,YES,YES,YES,A,A,B,B,B,B
24,HAMILTON,45,46,77,20,51,61,53,61,414,97,YES,YES,YES,YES,D,C,D,C,C,C
25,HARDEE,60,71,82,32,59,67,62,67,500,99,YES,YES,YES,YES,B,B,C,B,C,B
26,HENDRY,58,68,79,27,57,67,59,63,478,99,YES,YES,YES,YES,C,B,C,C,C,C
27,HERNANDO,68,73,83,43,62,69,59,64,521,99,YES,YES,YES,YES,B,A,B,B,B,B
28,HIGHLANDS,63,70,88,37,60,67,59,63,507,99,YES,YES,YES,YES,B,B,C,B,B,B
29,HILLSBOROUGH,65,72,91,48,63,71,59,63,532,99,YES,YES,YES,YES,A,A,B,A,B,B
30,HOLMES,65,70,83,42,61,68,57,65,511,99,YES,YES,YES,YES,B,A,C,B,C,B
31,INDIAN RIVER,70,74,90,47,64,71,62,65,543,99,YES,YES,YES,YES,A,A,B,B,A,B
32,JACKSON,68,74,85,44,63,68,60,62,524,99,YES,YES,YES,YES,B,B,B,B,B,B
33,JEFFERSON,46,48,73,14,49,48,50,48,376,98,YES,YES,YES,NO,F,D,C,C,D,D
34,LAFAYETTE,65,75,92,48,62,70,61,61,534,99,YES,YES,YES,YES,A,B,B,B,C,B
35,LAKE,67,71,84,46,62,68,60,64,522,99,YES,YES,YES,YES,B,A,B,B,B,B
