District Number,District Name,% Meeting High Standards in Reading,% Meeting High Standards in Math,% Meeting High Standards in Writing,% Meeting High Standards in Science,% Making Reading Gains ,% Making Math Gains,% of Lowest 25% Making Learning Gains in Reading ,% of Lowest 25% Making Learning Gains in Math,Points Earned (Sum of Previous 8 Columns),Percent Tested,50% or More of Lowest 25% of Readers Making Learning Gains - 2009,50% or More of Lowest 25% of Students Making Learning Gains in Math - 2009,50% or More of Lowest 25% of Readers Making Learning Gains - 2010,50% or More of Lowest 25% of Students Making Learning Gains in Math - 2010,Grade 2010,Grade 2009,Grade 2008,Grade 2007,Grade 2006,Grade 2005,Grade 2004,
01,ALACHUA,69,74,88,53,61,69,51,64,529,99,YES,YES,YES,YES,A,A,A,A,A,B,B,
02,BAKER,66,75,82,44,60,71,52,64,514,98,YES,YES,YES,YES,B,B,B,C,C,C,C,
03,BAY,71,76,79,52,59,67,49,58,511,99,YES,YES,NO,YES,B,A,A,B,A,B,B,
04,BRADFORD,62,65,83,42,56,63,53,57,481,99,YES,YES,YES,YES,C,C,C,C,C,C,C,
05,BREVARD,79,84,88,64,65,73,56,65,574,99,YES,YES,YES,YES,A,A,A,A,A,A,A,
06,BROWARD,68,76,91,47,62,71,55,63,533,99,YES,YES,YES,YES,A,A,A,B,A,B,B,
07,CALHOUN,76,81,83,52,61,66,54,57,530,100,YES,YES,YES,YES,A,A,A,A,A,A,A,
08,CHARLOTTE,72,80,88,53,62,71,57,64,547,99,YES,YES,YES,YES,A,A,A,A,A,A,A,
09,CITRUS,72,79,87,54,61,74,55,67,549,99,YES,YES,YES,YES,A,A,A,A,A,B,B,
10,CLAY,74,80,86,55,64,72,58,66,555,99,YES,YES,YES,YES,A,A,A,A,A,A,A,
11,COLLIER,69,72,86,46,63,70,57,66,529,99,YES,YES,YES,YES,A,A,B,B,B,B,B,
12,COLUMBIA,68,71,85,43,58,67,53,63,508,99,YES,YES,YES,YES,B,B,B,C,C,C,C,
13,DADE,64,71,88,41,63,69,58,67,521,99,YES,YES,YES,YES,B,B,B,C,B,B,C,
14,DESOTO,61,70,77,35,58,66,50,60,477,99,YES,YES,YES,YES,C,B,B,C,C,C,C,
15,DIXIE,67,74,82,48,58,67,48,63,507,99,YES,YES,NO,YES,B,B,A,B,B,C,C,
16,DUVAL,63,69,86,48,58,67,52,64,507,99,YES,YES,YES,YES,B,B,B,C,B,B,C,
17,ESCAMBIA,63,68,83,45,57,66,51,61,494,99,YES,YES,YES,YES,C,B,B,C,B,C,C,
18,FLAGLER,69,72,88,46,61,69,56,64,525,99,YES,YES,YES,YES,A,A,A,B,B,B,B,
19,FRANKLIN,64,68,80,45,56,66,56,61,496,98,YES,YES,YES,YES,B,B,C,C,C,C,C,
20,GADSDEN,46,58,79,22,51,64,55,65,440,97,YES,YES,YES,YES,C,C,C,F,C,D,D,
21,GILCHRIST,80,86,86,69,63,75,55,68,582,100,YES,YES,YES,YES,A,A,A,A,A,A,A,
22,GLADES,66,75,78,38,61,63,56,57,494,99,YES,YES,YES,YES,C,B,B,C,C,C,C,
23,GULF,71,77,80,48,63,72,56,67,534,99,YES,YES,YES,YES,A,A,A,B,B,B,B,
24,HAMILTON,48,49,66,27,50,62,46,65,413,99,YES,YES,NO,YES,D,D,C,D,C,C,C,
25,HARDEE,61,69,76,38,56,63,54,54,471,99,YES,YES,YES,YES,C,B,B,C,B,C,B,
26,HENDRY,59,70,78,33,58,68,56,65,487,99,YES,YES,YES,YES,C,C,B,C,C,C,C,
27,HERNANDO,69,74,86,49,61,71,55,65,530,99,YES,YES,YES,YES,A,B,A,B,B,B,B,
28,HIGHLANDS,63,69,85,40,57,65,50,63,492,99,YES,YES,YES,YES,C,B,B,C,B,B,B,
29,HILLSBOROUGH,66,73,90,50,62,70,54,64,529,99,YES,YES,YES,YES,A,A,A,B,A,B,B,
30,HOLMES,65,70,79,44,59,67,51,60,495,100,YES,YES,YES,YES,B,B,A,C,B,C,B,
31,INDIAN RIVER,70,73,88,49,62,70,54,66,532,99,YES,YES,YES,YES,A,A,A,B,B,A,B,
32,JACKSON,66,74,81,49,58,66,51,60,505,99,YES,YES,YES,YES,B,B,B,B,B,B,B,
33,JEFFERSON,47,47,68,18,50,56,50,66,402,97,YES,NO,YES,YES,D,F,D,C,C,D,D,
34,LAFAYETTE,65,74,83,39,55,72,56,60,504,100,YES,YES,YES,YES,B,A,B,B,B,C,B,
35,LAKE,67,72,84,48,60,68,54,64,517,99,YES,YES,YES,YES,B,B,A,B,B,B,B,
36,LEE,70,74,87,47,62,68,56,65,529,99,YES,YES,YES,YES,A,A,B,B,B,B,B,
37,LEON,72,77,84,55,62,69,53,61,533,99,YES,YES,YES,YES,A,A,A,A,A,A,A,
38,LEVY,65,74,79,51,58,70,52,63,512,99,YES,YES,YES,YES,B,B,B,C,B,C,B,
39,LIBERTY,67,69,80,44,61,73,52,64,510,99,YES,YES,YES,YES,B,C,B,C,B,B,B,
40,MADISON,49,53,75,26,49,64,44,63,423,99,YES,YES,NO,YES,D,C,D,D,C,D,D,
