District Number,District Name,% Meeting High Standards in Reading,% Meeting High Standards in Math,% Meeting High Standards in Writing,% Meeting High Standards in Science,% Making Reading Gains ,% Making Math Gains,% of Lowest 25% Making Learning Gains in Reading ,% of Lowest 25% Making Learning Gains in Math,Points Earned (Sum of Previous 8 Columns),Percent Tested,50% or More of Lowest 25% of Readers Making Learning Gains - 2010,50% or More of Lowest 25% of Students Making Learning Gains in Math - 2010,50% or More of Lowest 25% of Readers Making Learning Gains - 2011,50% or More of Lowest 25% of Students Making Learning Gains in Math - 2011,Grade 2011,Grade 2010,Grade 2009,Grade 2008,Grade 2007,Grade 2006,Grade 2005,Grade 2004
01,ALACHUA,69,74,86,54,62,69,55,63,532,99,YES,YES,YES,YES,A,A,A,A,A,A,B,B
02,BAKER,68,75,77,43,58,64,53,61,499,99,YES,YES,YES,YES,B,B,B,B,C,C,C,C
03,BAY,72,76,80,50,62,69,57,65,531,99,NO,YES,YES,YES,A,B,A,A,B,A,B,B
04,BRADFORD,60,65,77,42,55,61,65,62,487,98,YES,YES,YES,YES,C,C,C,C,C,C,C,C
05,BREVARD,78,83,85,65,63,71,57,64,566,99,YES,YES,YES,YES,A,A,A,A,A,A,A,A
06,BROWARD,67,76,88,48,61,69,58,64,531,99,YES,YES,YES,YES,A,A,A,A,B,A,B,B
07,CALHOUN,76,80,81,54,63,70,57,63,544,99,YES,YES,YES,YES,A,A,A,A,A,A,A,A
08,CHARLOTTE,72,77,84,55,62,68,58,62,538,99,YES,YES,YES,YES,A,A,A,A,A,A,A,A
09,CITRUS,73,80,86,55,61,70,59,66,550,99,YES,YES,YES,YES,A,A,A,A,A,A,B,B
10,CLAY,75,80,84,56,63,71,59,66,554,99,YES,YES,YES,YES,A,A,A,A,A,A,A,A
11,COLLIER,67,71,83,47,61,69,57,66,521,99,YES,YES,YES,YES,B,A,A,B,B,B,B,B
12,COLUMBIA,67,72,84,46,58,63,54,64,508,98,YES,YES,YES,YES,B,B,B,B,C,C,C,C
13,DADE,64,71,83,47,61,67,60,66,519,99,YES,YES,YES,YES,B,B,B,B,C,B,B,C
14,DESOTO,56,68,77,37,53,63,53,62,469,99,YES,YES,YES,YES,C,C,B,B,C,C,C,C
15,DIXIE,70,78,86,52,65,71,65,70,557,98,NO,YES,YES,YES,A,B,B,A,B,B,C,C
16,DUVAL,62,69,79,49,58,65,56,65,503,99,YES,YES,YES,YES,B,B,B,B,C,B,B,C
17,ESCAMBIA,65,68,81,48,61,66,58,63,510,99,YES,YES,YES,YES,B,C,B,B,C,B,C,C
18,FLAGLER,71,72,85,48,63,67,60,64,530,98,YES,YES,YES,YES,A,A,A,A,B,B,B,B
19,FRANKLIN,62,64,75,44,57,59,59,65,485,97,YES,YES,YES,YES,C,B,B,C,C,C,C,C
20,GADSDEN,47,65,80,29,54,68,58,73,474,97,YES,YES,YES,YES,C,C,C,C,F,C,D,D
21,GILCHRIST,81,84,87,67,63,68,60,63,573,100,YES,YES,YES,YES,A,A,A,A,A,A,A,A
22,GLADES,68,82,79,45,60,66,65,74,539,99,YES,YES,YES,YES,A,C,B,B,C,C,C,C
23,GULF,72,76,74,55,63,68,60,66,534,99,YES,YES,YES,YES,A,A,A,A,B,B,B,B
24,HAMILTON,49,56,73,27,53,67,60,67,452,98,NO,YES,YES,YES,C,D,D,C,D,C,C,C
25,HARDEE,59,68,76,39,57,63,58,65,485,99,YES,YES,YES,YES,C,C,B,B,C,B,C,B
26,HENDRY,56,70,70,37,52,66,53,66,470,99,YES,YES,YES,YES,C,C,C,B,C,C,C,C
