District Number,District Name,Reading % Satisfactory or Higher,Math % Satisfactory or Higher,Writing % Satisfactory or Higher,Science % Satisfactory or Higher,Reading Points for Gains,Math Points for Gains,Reading Gains for Low 25%,Math Gains for Low 25% ,Points Earned (Sum of Previous 8 Columns),Percent Tested,Adjusted Reading % Satisfactory or Higher,Adjusted Math % Satisfactory or Higher,Adjusted Writing % Satisfactory or Higher,Adjusted Points Earned,Grade 2012,Grade 2011,Grade 2010,Grade 2009,Grade 2008,Grade 2007,Grade 2006,Grade 2005,Grade 2004
01,ALACHUA,59,59,82,55,67,68,63,59,512,98,59,59,82,512,B,A,A,A,A,A,A,B,B
02,BAKER,58,61,74,46,64,67,60,62,492,98,58,61,74,492,C,B,B,B,B,C,C,C,C
03,BAY,59,57,74,50,65,64,63,58,490,98,60,58,77,495,B,A,B,A,A,B,A,B,B
04,BRADFORD,45,43,66,33,57,57,62,55,418,97,45,43,66,418,D,C,C,C,C,C,C,C,C
05,BREVARD,68,67,82,62,69,69,68,61,546,99,68,67,82,546,A,A,A,A,A,A,A,A,A
06,BROWARD,58,62,85,49,67,68,66,59,514,99,58,62,85,514,B,A,A,A,A,B,A,B,B
07,CALHOUN,64,62,77,58,67,65,64,56,513,99,64,62,77,513,B,A,A,A,A,A,A,A,A
08,CHARLOTTE,62,59,82,54,65,65,64,61,512,99,62,59,82,512,B,A,A,A,A,A,A,A,A
09,CITRUS,63,65,84,55,67,70,63,67,534,98,63,65,84,534,A,A,A,A,A,A,A,B,B
10,CLAY,65,66,82,56,67,70,65,63,534,99,65,66,82,534,A,A,A,A,A,A,A,A,A
11,COLLIER,58,58,79,48,69,74,69,73,528,100,58,58,79,528,A,B,A,A,B,B,B,B,B
12,COLUMBIA,55,55,79,49,62,63,62,62,487,98,55,55,79,487,C,B,B,B,B,C,C,C,C
13,DADE,55,57,81,47,68,68,70,66,512,99,55,57,81,512,B,B,B,B,B,C,B,B,C
14,DESOTO,43,49,70,33,58,61,63,63,440,99,43,49,70,440,C,C,C,B,B,C,C,C,C
15,DIXIE,55,58,81,50,64,61,62,57,488,99,57,60,84,495,B,A,B,B,A,B,B,C,C
16,DUVAL,53,54,82,46,64,65,66,64,494,99,53,54,82,494,C,B,B,B,B,C,B,B,C
17,ESCAMBIA,52,52,76,46,61,62,62,59,470,99,52,52,76,470,C,B,C,B,B,C,B,C,C
18,FLAGLER,60,60,82,42,67,72,66,67,516,98,60,60,82,516,B,A,A,A,A,B,B,B,B
19,FRANKLIN,50,47,63,46,62,65,61,58,452,97,50,47,63,452,C,C,B,B,C,C,C,C,C
20,GADSDEN,37,52,77,34,57,55,66,62,440,97,37,52,77,440,C,C,C,C,C,F,C,D,D
21,GILCHRIST,66,69,85,61,71,71,70,74,567,99,66,69,85,567,A,A,A,A,A,A,A,A,A
22,GLADES,51,61,75,43,59,58,64,63,474,98,58,68,82,495,B,A,C,B,B,C,C,C,C
23,GULF,60,60,74,51,64,66,62,64,501,99,60,60,74,501,B,A,A,A,A,B,B,B,B
24,HAMILTON,38,42,70,23,57,58,62,63,413,99,38,42,70,413,D,C,D,D,C,D,C,C,C
25,HARDEE,46,51,68,36,62,59,66,55,443,99,46,51,68,443,C,C,C,B,B,C,B,C,B
26,HENDRY,45,52,65,33,61,61,66,63,446,99,45,52,65,446,C,C,C,C,B,C,C,C,C
27,HERNANDO,59,54,79,49,64,63,66,60,494,99,59,54,79,494,C,B,A,B,A,B,B,B,B
