District Number,District Name,Reading % Satisfactory or Higher,Math % Satisfactory or Higher,Writing % Satisfactory or Higher,Science % Satisfactory or Higher,Reading Points for Gains,Math Points for Gains,Reading Gains for Low 25%,Math Gains for Low 25% ,Points Earned,Percent Tested,"Reading Gains for Lowest 25%, at Least 50 Points in 2012","Reading Gains for Lowest 25%, at Least 50 Points in 2013",Improvement of the Lowest 25% in Reading,"Math Gains for Lowest 25%, at Least 50 Points in 2012","Math Gains for Lowest 25%, at Least 50 Points in 2013",Improvement of the Lowest 25% in Math,FCAT Reading % Satisfactory or Higher,25% or More of FCAT 2.0 Readers Scoring Satisfactory or Higher,Adjusted Reading % Satisfactory or Higher,Adjusted Math % Satisfactory or Higher,Adjusted Writing % Satisfactory or Higher,"Total Points, Including Adjusted Points if Applicable",Did this District Benefit from the One-Letter-Grade-Drop Protection?,Grade 2013,Grade 2012,Grade 2011,Grade 2010,Grade 2009,Grade 2008,Grade 2007,Grade 2006,Grade 2005,Grade 2004,,,,
01,ALACHUA,59,60,56,61,65,65,61,58,485,98,YES,YES,,YES,YES,,59,YES,59,60,56,485,NA,C,B,A,A,A,A,A,A,B,B,,,,
02,BAKER,60,62,48,50,63,62,58,48,451,99,YES,YES,,YES,NO,,60,YES,60,62,48,451,NA,C,C,B,B,B,B,C,C,C,C,,,,
03,BAY,59,57,47,54,64,65,63,61,470,97,YES,YES,,YES,YES,,59,YES,59,57,47,470,NA,C,B,A,B,A,A,B,A,B,B,,,,
04,BRADFORD,45,43,34,44,60,58,68,59,411,97,YES,YES,,YES,YES,,44,YES,45,43,34,411,NA,D,D,C,C,C,C,C,C,C,C,,,,
05,BREVARD,66,66,59,65,67,68,64,60,515,99,YES,YES,,YES,YES,,66,YES,66,66,59,515,NA,B,A,A,A,A,A,A,A,A,A,,,,
06,BROWARD,58,61,66,55,65,65,63,57,490,99,YES,YES,,YES,YES,,58,YES,58,61,66,490,NA,C,B,A,A,A,A,B,A,B,B,,,,
07,CALHOUN,64,65,53,63,64,66,62,60,497,98,YES,YES,,YES,YES,,64,YES,64,65,53,497,NA,B,B,A,A,A,A,A,A,A,A,,,,
08,CHARLOTTE,60,57,54,58,62,61,60,57,469,98,YES,YES,,YES,YES,,60,YES,60,57,54,469,NA,C,B,A,A,A,A,A,A,A,A,,,,
09,CITRUS,64,65,63,59,64,66,61,57,499,98,YES,YES,,YES,YES,,63,YES,64,65,63,499,NA,B,A,A,A,A,A,A,A,B,B,,,,
10,CLAY,64,66,51,62,65,70,63,63,504,99,YES,YES,,YES,YES,,64,YES,64,66,51,504,NA,B,A,A,A,A,A,A,A,A,A,,,,
11,COLLIER,58,63,53,58,67,74,64,71,508,99,YES,YES,,YES,YES,,58,YES,58,63,53,508,NA,B,A,B,A,A,B,B,B,B,B,,,,
12,COLUMBIA,57,54,41,51,63,60,62,58,446,99,YES,YES,,YES,YES,,56,YES,57,54,41,446,NA,C,C,B,B,B,B,C,C,C,C,,,,
13,DADE,57,59,58,54,68,67,67,65,495,99,YES,YES,,YES,YES,,56,YES,57,59,58,495,NA,B,B,B,B,B,B,C,B,B,C,,,,
14,DESOTO,41,45,39,46,55,55,57,53,391,98,YES,YES,,YES,YES,,41,YES,42,46,41,395,YES,D,C,C,C,B,B,C,C,C,C,,,,
15,DIXIE,59,60,57,54,66,67,69,57,489,98,YES,YES,,YES,YES,,59,YES,59,60,57,489,NA,C,B,A,B,B,A,B,B,C,C,,,,
16,DUVAL,54,56,59,55,64,64,63,64,479,99,YES,YES,,YES,YES,,54,YES,54,56,59,479,NA,C,C,B,B,B,B,C,B,B,C,,,,
17,ESCAMBIA,52,54,48,58,60,63,59,58,452,99,YES,YES,,YES,YES,,52,YES,52,54,48,452,NA,C,C,B,C,B,B,C,B,C,C,,,,
18,FLAGLER,63,64,57,58,66,70,63,68,509,98,YES,YES,,YES,YES,,63,YES,63,64,57,509,NA,B,B,A,A,A,A,B,B,B,B,,,,
19,FRANKLIN,51,56,42,58,61,70,61,57,456,97,YES,YES,,YES,YES,,50,YES,51,56,42,456,NA,C,C,C,B,B,C,C,C,C,C,,,,
20,GADSDEN,40,50,47,38,60,54,64,57,410,97,YES,YES,,YES,YES,,39,YES,40,50,47,410,NA,D,C,C,C,C,C,F,C,D,D,,,,
21,GILCHRIST,70,71,57,72,70,69,71,66,546,99,YES,YES,,YES,YES,,70,YES,70,71,57,546,NA,A,A,A,A,A,A,A,A,A,A,,,,
22,GLADES,53,60,46,43,62,66,62,66,458,98,YES,YES,,YES,YES,,53,YES,53,60,46,458,NA,C,B,A,C,B,B,C,C,C,C,,,,
23,GULF,58,63,52,54,62,70,58,67,484,99,YES,YES,,YES,YES,,58,YES,58,63,52,484,NA,C,B,A,A,A,A,B,B,B,B,,,,
24,HAMILTON,41,41,43,36,58,55,57,57,388,99,YES,YES,,YES,YES,,41,YES,41,41,43,388,NA,F,D,C,D,D,C,D,C,C,C,,,,
25,HARDEE,49,51,37,44,58,55,55,53,402,98,YES,YES,,YES,YES,,49,YES,49,51,37,402,NA,D,C,C,C,B,B,C,B,C,B,,,,
26,HENDRY,43,51,34,44,58,60,61,64,415,99,YES,YES,,YES,YES,,43,YES,43,51,34,415,NA,D,C,C,C,C,B,C,C,C,C,,,,
27,HERNANDO,59,58,53,57,63,67,63,64,484,98,YES,YES,,YES,YES,,59,YES,59,58,53,484,NA,C,C,B,A,B,A,B,B,B,B,,,,
