,,,,,2013-2014 District Grades,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
District Number,District Name,Reading % Satisfactory or Higher,Math % Satisfactory or Higher,Writing % Satisfactory or Higher,Science % Satisfactory or Higher,Reading Points for Gains,Math Points for Gains,Reading Gains for Low 25%,Math Gains for Low 25% ,Points Earned,Percent Tested,"Reading Gains for Lowest 25%, at Least 50 Points in 2013","Reading Gains for Lowest 25%, at Least 50 Points in 2014",Improvement of the Lowest 25% in Reading,"Math Gains for Lowest 25%, at Least 50 Points in 2013","Math Gains for Lowest 25%, at Least 50 Points in 2014",Improvement of the Lowest 25% in Math,FCAT 2.0 Reading % Satisfactory or Higher,25% or More of FCAT 2.0 Readers Scoring Satisfactory or Higher,Adjusted Reading % Satisfactory or Higher,Adjusted Math % Satisfactory or Higher,Adjusted Writing % Satisfactory or Higher,"Total Points, Including Adjusted Points if Applicable",Did This District Benefit from the One-Letter-Grade-Drop Protection?,Grade 2014,Grade 2013,Grade 2012,Grade 2011,Grade 2010,Grade 2009,Grade 2008,Grade 2007,Grade 2006,Grade 2005,Grade 2004
01,ALACHUA,60,60,55,61,68,66,61,58,489,98,YES,YES,,YES,YES,,60,YES,60,60,55,489,NA,C,C,B,A,A,A,A,A,A,B,B
02,BAKER,58,61,54,47,63,64,58,58,463,99,YES,YES,,NO,YES,,58,YES,58,61,54,463,NA,C,C,C,B,B,B,B,C,C,C,C
03,BAY,60,57,45,57,67,63,65,58,472,98,YES,YES,,YES,YES,,60,YES,60,57,45,472,NA,C,C,B,A,B,A,A,B,A,B,B
04,BRADFORD,49,45,52,47,65,60,66,60,444,97,YES,YES,,YES,YES,,48,YES,49,45,52,444,NA,C,D,D,C,C,C,C,C,C,C,C
05,BREVARD,66,66,53,66,70,70,66,62,519,99,YES,YES,,YES,YES,,66,YES,66,66,53,519,NA,B,B,A,A,A,A,A,A,A,A,A
06,BROWARD,59,61,65,55,68,67,66,62,503,98,YES,YES,,YES,YES,,59,YES,59,61,65,503,NA,B,C,B,A,A,A,A,B,A,B,B
07,CALHOUN,64,67,66,60,69,70,64,60,520,98,YES,YES,,YES,YES,,63,YES,64,67,66,520,NA,B,B,B,A,A,A,A,A,A,A,A
08,CHARLOTTE,58,57,51,57,63,64,60,57,467,98,YES,YES,,YES,YES,,58,YES,58,57,51,467,NA,C,C,B,A,A,A,A,A,A,A,A
09,CITRUS,64,65,65,62,68,73,63,67,527,99,YES,YES,,YES,YES,,64,YES,64,65,65,527,NA,A,B,A,A,A,A,A,A,A,B,B
10,CLAY,65,67,53,63,69,71,65,63,516,99,YES,YES,,YES,YES,,65,YES,65,67,53,516,NA,B,B,A,A,A,A,A,A,A,A,A
11,COLLIER,59,64,56,58,69,72,65,67,510,99,YES,YES,,YES,YES,,59,YES,59,64,56,510,NA,B,B,A,B,A,A,B,B,B,B,B
12,COLUMBIA,58,55,50,54,63,64,62,65,471,98,YES,YES,,YES,YES,,57,YES,58,55,50,471,NA,C,C,C,B,B,B,B,C,C,C,C
