,,,2014-15 Informational Baseline District Grades,,,,,,,,,,
District Number,District Name,English Language Arts Achievement,Mathematics Achievement,Science Achievement,Social Studies Achievement,Middle School Acceleration,Graduation Rate 2013-14,College and Career Acceleration 2013-14,Total Points Earned,Total Components,Percent of Total Possible Points,Percent Tested,Informational Baseline Grade 2015
01,ALACHUA,57,57,61,71,78,72,57,453,7,65,98,A
02,BAKER,50,55,53,59,38,75,53,383,7,55,98,B
03,BAY,54,57,56,71,46,71,60,415,7,59,97,B
04,BRADFORD,41,35,41,62,50,71,42,342,7,49,96,C
05,BREVARD,61,61,63,72,69,86,66,478,7,68,98,A
06,BROWARD,55,55,55,67,60,74,57,423,7,60,98,B
07,CALHOUN,59,61,66,74,45,81,57,443,7,63,98,A
08,CHARLOTTE,53,54,55,71,50,76,49,408,7,58,98,B
09,CITRUS,57,62,62,66,57,77,50,431,7,62,98,A
10,CLAY,59,64,62,74,43,80,56,438,7,63,98,A
11,COLLIER,56,59,60,70,54,82,50,431,7,62,98,A
12,COLUMBIA,51,55,54,63,52,61,41,377,7,54,97,B
13,DADE,55,51,54,62,64,77,63,426,7,61,99,B
14,DESOTO,35,36,46,53,47,61,59,337,7,48,98,C
15,DIXIE,51,48,60,65,49,88,69,430,7,61,98,B
16,DUVAL,48,46,54,61,62,74,60,405,7,58,97,B
17,ESCAMBIA,45,49,55,58,60,66,46,379,7,54,98,B
18,FLAGLER,59,61,57,70,61,78,35,421,7,60,98,B
19,FRANKLIN,46,47,47,60,60,70,43,373,7,53,96,C
20,GADSDEN,33,41,30,37,48,56,30,275,7,39,94,D
21,GILCHRIST,61,63,68,73,33,95,63,456,7,65,99,A
22,GLADES,47,57,44,56,58,61,51,374,7,53,98,C
23,GULF,51,60,61,63,43,78,55,411,7,59,98,B
24,HAMILTON,28,34,29,33,31,79,35,269,7,38,95,D
25,HARDEE,42,42,42,43,55,64,37,325,7,46,98,C
26,HENDRY,40,40,44,59,52,67,34,336,7,48,98,C
27,HERNANDO,54,55,58,69,46,77,52,411,7,59,99,B
28,HIGHLANDS,47,50,48,55,42,64,40,346,7,49,98,C
29,HILLSBOROUGH,52,53,56,72,79,73,48,433,7,62,99,A
30,HOLMES,48,43,53,61,43,72,38,358,7,51,97,C
31,INDIAN RIVER,54,50,56,71,74,79,63,447,7,64,97,A
32,JACKSON,54,56,58,68,38,70,40,384,7,55,99,B
33,JEFFERSON,24,22,36,34,28,57,26,227,7,32,95,D
34,LAFAYETTE,50,65,58,68,68,80,40,429,7,61,99,B
35,LAKE,50,51,55,67,61,77,39,400,7,57,98,B
36,LEE,54,53,53,64,66,75,52,417,7,60,98,B
37,LEON,59,60,59,76,69,84,50,457,7,65,99,A
38,LEVY,42,50,51,62,47,70,57,379,7,54,97,B
39,LIBERTY,52,45,48,69,56,71,79,420,7,60,96,B
40,MADISON,34,35,35,43,75,76,46,344,7,49,96,C
41,MANATEE,50,53,51,63,50,76,55,398,7,57,98,B
42,MARION,46,46,53,59,46,78,48,376,7,54,98,B
43,MARTIN,61,60,63,71,65,89,64,473,7,68,98,A
44,MONROE,58,59,63,73,68,73,50,444,7,63,99,A
45,NASSAU,62,63,66,73,48,90,52,454,7,65,99,A
46,OKALOOSA,64,68,68,80,57,83,65,485,7,69,98,A
47,OKEECHOBEE,40,44,43,49,57,61,47,341,7,49,97,C
48,ORANGE,54,52,59,67,71,75,44,422,7,60,98,B
49,OSCEOLA,52,49,53,64,63,78,42,401,7,57,98,B
50,PALM BEACH,55,56,61,69,62,78,60,441,7,63,98,A
51,PASCO,55,55,58,71,51,79,45,414,7,59,97,B
52,PINELLAS,52,52,58,67,68,76,49,422,7,60,97,B
53,POLK,45,44,49,57,56,69,52,372,7,53,97,C
54,PUTNAM,39,42,42,54,41,58,40,316,7,45,98,C
55,ST. JOHNS,73,77,79,88,65,88,58,528,7,75,99,A
56,ST. LUCIE,46,45,50,61,54,73,53,382,7,55,99,B
57,SANTA ROSA,66,69,68,77,52,83,62,477,7,68,99,A
58,SARASOTA,67,67,69,75,55,81,56,470,7,67,99,A
59,SEMINOLE,63,62,65,77,68,85,49,469,7,67,98,A
60,SUMTER,61,60,62,72,59,83,43,440,7,63,99,A
61,SUWANNEE,44,47,53,57,55,77,53,386,7,55,97,B
62,TAYLOR,43,51,48,48,76,50,41,357,7,51,96,C
63,UNION,53,64,52,69,66,83,48,435,7,62,97,A
64,VOLUSIA,52,55,65,65,54,71,50,412,7,59,98,B
65,WAKULLA,59,61,62,68,75,75,57,457,7,65,99,A
66,WALTON,58,60,63,75,41,68,46,411,7,59,98,B
67,WASHINGTON,49,48,51,63,67,66,47,391,7,56,98,B
