,,,2016-17 District Grades,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
District Number,District Name,English Language Arts Achievement,English Language Arts Learning Gains,English Language Arts Learning Gains of the Lowest 25%,Mathematics Achievement,Mathematics Learning Gains,Mathematics Learning Gains of the Lowest 25%,Science Achievement,Social Studies Achievement,Middle School Acceleration,Graduation Rate 2015-16,College and Career Acceleration 2015-16,Total Points Earned,Total Components,Percent of Total Possible Points,Percent Tested,Grade 2017,Grade 2016,Informational Baseline Grade 2015,Grade 2014,Grade 2013,Grade 2012,Grade 2011,Grade 2010
01,ALACHUA,57,57,41,57,56,41,58,72,80,78,55,652,11,59,98,B,B,A,C,C,B,A,A
02,BAKER,49,49,39,62,54,49,52,63,49,79,54,599,11,54,98,B,C,B,C,C,C,B,B
03,BAY,53,53,46,58,56,46,55,75,59,81,60,642,11,58,98,B,B,B,C,C,B,A,B
04,BRADFORD,38,40,36,48,52,46,40,60,72,84,29,545,11,50,98,C,C,C,C,D,D,C,C
05,BREVARD,62,57,45,61,56,41,61,73,72,87,65,680,11,62,98,A,B,A,B,B,A,A,A
06,BROWARD,57,57,44,59,58,44,54,71,66,79,57,646,11,59,98,B,B,B,B,C,B,A,A
07,CALHOUN,59,55,46,60,54,41,59,75,59,83,56,647,11,59,98,B,B,A,B,B,B,A,A
08,CHARLOTTE,55,54,43,60,54,41,60,75,61,77,43,623,11,57,98,B,B,B,C,C,B,A,A
09,CITRUS,55,51,40,64,59,46,62,72,56,79,51,635,11,58,98,B,B,A,A,B,A,A,A
10,CLAY,60,57,47,64,59,46,59,79,55,85,58,669,11,61,98,B,B,A,B,B,A,A,A
11,COLLIER,58,58,46,66,63,54,60,72,78,87,57,699,11,64,98,A,B,A,B,B,A,B,A
12,COLUMBIA,52,49,41,57,55,49,55,66,50,75,41,590,11,54,98,B,C,B,C,C,C,B,B
13,DADE,57,56,46,58,56,45,55,70,72,80,58,653,11,59,99,B,B,B,B,B,B,B,B
14,DESOTO,30,41,36,36,49,45,28,52,68,62,53,500,11,45,99,C,C,C,D,D,C,C,C
15,DIXIE,51,44,36,51,50,44,51,66,40,96,75,604,11,55,99,B,B,B,C,C,B,A,B
16,DUVAL,49,52,42,57,56,46,56,67,77,79,72,653,11,59,99,B,B,B,C,C,C,B,B
17,ESCAMBIA,48,49,38,47,46,35,51,57,73,76,49,569,11,52,99,C,C,B,C,C,C,B,C
18,FLAGLER,59,55,44,63,57,48,61,73,62,80,44,646,11,59,98,B,B,B,B,B,B,A,A
19,FRANKLIN,43,43,29,44,46,42,45,58,59,73,38,520,11,47,97,C,C,C,C,C,C,C,B
20,GADSDEN,30,39,39,42,44,41,28,46,63,68,52,492,11,45,96,C,C,D,D,D,C,C,C
21,GILCHRIST,64,61,49,64,60,53,65,76,59,98,62,711,11,65,99,A,B,A,A,A,A,A,A
22,GLADES,43,47,39,54,51,48,37,52,75,78,28,552,11,50,97,C,C,C,B,C,B,A,C
23,GULF,52,49,35,63,56,46,51,66,62,82,50,612,11,56,97,B,B,B,C,C,B,A,A
24,HAMILTON,26,36,31,35,39,39,26,21,33,83,47,416,11,38,95,D,D,D,F,F,D,C,D
25,HARDEE,41,43,35,49,50,43,44,43,55,67,40,510,11,46,98,C,C,C,D,D,C,C,C
26,HENDRY,40,44,37,44,50,48,40,52,72,78,41,546,11,50,98,C,C,C,D,D,C,C,C
27,HERNANDO,52,51,44,59,53,44,59,74,47,81,57,621,11,56,98,B,B,B,C,C,C,B,A
28,HIGHLANDS,47,50,40,51,49,40,44,59,70,68,43,561,11,51,99,C,C,C,C,C,C,B,C
29,HILLSBOROUGH,53,54,42,55,56,42,54,72,84,79,49,640,11,58,98,B,B,A,B,C,B,B,A
30,HOLMES,49,51,38,45,47,36,47,69,57,72,43,554,11,50,98,C,C,C,C,C,C,B,B
31,INDIAN RIVER,52,50,40,53,54,43,53,70,58,87,63,623,11,57,98,B,B,A,C,C,B,A,A
32,JACKSON,56,54,47,57,54,43,55,63,44,73,49,595,11,54,99,B,C,B,C,C,B,B,B
33,JEFFERSON,29,30,36,22,31,35,33,26,,70,46,358,10,36,98,D,D,D,F,F,D,C,D
34,LAFAYETTE,51,49,36,62,59,47,60,72,59,93,69,657,11,60,99,B,B,B,B,C,B,B,B
35,LAKE,52,51,43,55,53,42,53,71,65,78,46,609,11,55,98,B,C,B,C,C,B,B,B
36,LEE,54,52,42,55,53,43,52,65,70,78,59,623,11,57,98,B,B,B,B,C,B,A,A
