,,,2017-18 District Grades,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
District Number,District Name,English Language Arts Achievement,English Language Arts Learning Gains,English Language Arts Learning Gains of the Lowest 25%,Mathematics Achievement,Mathematics Learning Gains,Mathematics Learning Gains of the Lowest 25%,Science Achievement,Social Studies Achievement,Middle School Acceleration,Graduation Rate 2016-17,College and Career Acceleration 2016-17,Total Points Earned,Total Components,Percent of Total Possible Points,Percent Tested,Grade 2018,Grade 2017,Grade 2016,Informational Baseline Grade 2015,Grade 2014,Grade 2013,Grade 2012,Grade 2011,Grade 2010
01,ALACHUA,57,55,40,58,56,40,59,71,80,83,60,659,11,60,98,B,B,B,A,C,C,B,A,A
02,BAKER,51,51,45,63,53,47,54,65,59,81,58,627,11,57,98,B,B,C,B,C,C,C,B,B
03,BAY,54,52,41,60,59,49,57,76,65,78,62,653,11,59,98,B,B,B,B,C,C,B,A,B
04,BRADFORD,41,46,43,47,49,44,41,55,46,79,45,536,11,49,98,C,C,C,C,C,D,D,C,C
05,BREVARD,60,54,43,61,57,45,61,73,73,86,68,681,11,62,98,A,A,B,A,B,B,A,A,A
06,BROWARD,58,57,45,60,57,43,55,71,68,81,62,657,11,60,98,B,B,B,B,B,C,B,A,A
07,CALHOUN,60,54,48,64,57,52,62,76,67,81,57,678,11,62,99,A,B,B,A,B,B,B,A,A
08,CHARLOTTE,56,53,43,62,54,45,64,77,65,81,48,648,11,59,98,B,B,B,B,C,C,B,A,A
09,CITRUS,56,52,42,62,54,45,60,72,56,79,47,625,11,57,99,B,B,B,A,A,B,A,A,A
10,CLAY,62,57,47,65,60,50,72,79,69,88,58,707,11,64,98,A,B,B,A,B,B,A,A,A
11,COLLIER,60,58,46,67,63,54,64,74,85,88,68,727,11,66,99,A,A,B,A,B,B,A,B,A
12,COLUMBIA,52,50,42,58,52,41,57,66,58,71,46,593,11,54,99,B,B,C,B,C,C,C,B,B
13,MIAMI-DADE,60,58,49,61,57,48,59,72,76,81,67,688,11,63,99,A,B,B,B,B,B,B,B,B
14,DESOTO,34,48,49,38,49,46,37,50,75,64,49,539,11,49,98,C,C,C,C,D,D,C,C,C
15,DIXIE,51,49,44,48,46,41,59,63,57,89,78,625,11,57,99,B,B,B,B,C,C,B,A,B
16,DUVAL,50,50,42,56,55,46,57,75,80,81,75,667,11,61,99,B,B,B,B,C,C,C,B,B
17,ESCAMBIA,48,48,40,49,51,40,54,59,71,79,50,589,11,54,98,B,C,C,B,C,C,C,B,C
18,FLAGLER,58,53,41,63,56,46,61,71,71,81,47,648,11,59,99,B,B,B,B,B,B,B,A,A
19,FRANKLIN,42,48,46,47,52,46,41,60,49,75,60,566,11,51,95,C,C,C,C,C,C,C,C,B
20,GADSDEN,35,48,47,46,45,44,31,52,54,50,42,494,11,45,97,C,C,C,D,D,D,C,C,C
21,GILCHRIST,65,59,51,70,62,58,73,76,64,93,70,741,11,67,99,A,A,B,A,A,A,A,A,A
22,GLADES,46,50,45,52,44,38,36,53,68,81,32,545,11,50,99,C,C,C,C,B,C,B,A,C
23,GULF,52,51,42,59,52,43,56,66,73,85,61,640,11,58,97,B,B,B,B,C,C,B,A,A
24,HAMILTON,32,48,45,44,53,49,38,49,78,67,38,541,11,49,98,C,D,D,D,F,F,D,C,D
25,HARDEE,47,54,47,55,54,47,45,52,52,72,39,564,11,51,98,C,C,C,C,D,D,C,C,C
26,HENDRY,42,47,43,45,52,47,46,58,68,84,44,576,11,52,99,C,C,C,C,D,D,C,C,C
27,HERNANDO,54,51,43,59,55,48,58,72,53,83,59,635,11,58,98,B,B,B,B,C,C,C,B,A
28,HIGHLANDS,46,48,41,53,50,38,50,60,67,72,43,568,11,52,99,C,C,C,C,C,C,C,B,C
29,HILLSBOROUGH,54,54,42,56,57,44,56,70,83,83,50,649,11,59,99,B,B,B,A,B,C,B,B,A
30,HOLMES,51,52,45,48,47,46,51,66,51,69,57,583,11,53,98,C,C,C,C,C,C,C,B,B
31,INDIAN RIVER,53,51,43,57,59,49,57,68,63,87,68,655,11,60,98,B,B,B,A,C,C,B,A,A
32,JACKSON,58,55,48,60,53,43,56,61,63,72,56,625,11,57,98,B,B,C,B,C,C,B,B,B
33,JEFFERSON,36,54,57,40,60,57,32,55,,54,62,507,10,51,99,C,D,D,D,F,F,D,C,D
34,LAFAYETTE,57,59,58,74,72,62,72,69,59,88,84,754,11,69,98,A,B,B,B,B,C,B,B,B
35,LAKE,54,52,44,58,55,43,57,72,65,78,53,631,11,57,99,B,B,C,B,C,C,B,B,B
36,LEE,54,52,42,58,56,46,55,67,69,79,58,636,11,58,99,B,B,B,B,B,C,B,A,A
37,LEON,59,54,40,61,56,40,59,76,70,89,55,659,11,60,98,B,B,B,A,B,C,B,A,A
38,LEVY,43,47,42,51,50,42,50,71,40,80,57,573,11,52,98,C,C,C,B,C,C,C,B,B
39,LIBERTY,58,59,54,54,51,50,53,74,76,82,90,701,11,64,99,A,B,B,B,B,C,B,A,B
40,MADISON,45,49,43,47,55,47,44,64,79,77,52,602,11,55,99,B,C,C,C,F,F,D,D,D
41,MANATEE,52,52,43,57,57,46,55,76,66,81,56,641,11,58,99,B,B,C,B,C,C,C,B,B
42,MARION,46,48,40,50,53,41,53,68,62,78,53,592,11,54,98,B,C,C,B,C,C,C,B,B
43,MARTIN,59,57,47,66,62,47,63,78,63,84,65,691,11,63,99,A,A,B,A,B,B,A,A,A
44,MONROE,61,57,49,65,61,49,68,75,64,79,54,682,11,62,99,A,B,B,A,B,B,A,A,A
45,NASSAU,67,58,48,73,62,50,69,72,46,91,64,700,11,64,99,A,A,B,A,A,B,A,A,A
46,OKALOOSA,64,55,44,71,61,50,69,81,67,86,71,719,11,65,98,A,A,A,A,A,B,A,A,A
47,OKEECHOBEE,44,48,42,55,58,44,51,53,61,72,57,585,11,53,98,C,C,C,C,C,D,C,C,C
48,ORANGE,55,52,43,58,53,42,59,69,81,85,53,650,11,59,99,B,B,B,B,B,C,B,B,A
49,OSCEOLA,52,54,45,49,52,44,56,70,75,86,51,634,11,58,98,B,B,C,B,C,C,B,B,B
50,PALM BEACH,58,57,47,62,60,45,62,73,76,85,67,692,11,63,99,A,B,B,A,B,B,A,A,A
51,PASCO,56,52,41,59,59,44,60,71,57,81,49,629,11,57,97,B,B,C,B,C,C,B,B,B
52,PINELLAS,52,50,39,57,55,41,59,69,75,83,55,635,11,58,98,B,B,B,B,C,C,C,B,B
53,POLK,47,48,41,51,51,42,52,68,65,75,55,595,11,54,98,B,C,C,C,C,C,C,C,B
54,PUTNAM,42,47,40,45,50,45,44,59,78,72,48,570,11,52,98,C,C,C,C,C,D,C,C,C
55,ST. JOHNS,74,61,45,79,67,54,78,88,59,91,62,758,11,69,99,A,A,A,A,A,A,A,A,A
56,ST. LUCIE,51,54,50,53,56,49,58,69,75,90,60,665,11,60,99,B,B,C,B,C,C,C,B,B
57,SANTA ROSA,64,55,43,69,60,49,67,77,62,86,61,693,11,63,99,A,A,B,A,A,A,A,A,A
58,SARASOTA,67,59,45,73,64,52,69,80,74,86,65,734,11,67,99,A,A,A,A,A,A,A,A,A
59,SEMINOLE,63,56,43,65,60,43,67,76,71,89,59,692,11,63,98,A,A,B,A,A,A,A,A,A
60,SUMTER,64,59,46,65,58,46,66,73,69,85,51,682,11,62,99,A,B,B,A,B,B,A,A,A
61,SUWANNEE,48,47,38,46,42,34,54,64,73,90,70,606,11,55,99,B,B,C,B,C,D,C,C,C
62,TAYLOR,45,47,39,50,48,43,48,65,91,70,53,599,11,54,96,B,C,C,C,C,C,C,C,C
63,UNION,58,54,47,72,59,49,58,71,47,81,64,660,11,60,99,B,B,B,A,A,B,A,A,B
64,VOLUSIA,53,50,39,56,54,41,63,67,74,77,50,624,11,57,98,B,B,B,B,C,C,C,B,B
65,WAKULLA,63,59,49,63,59,53,68,84,75,87,69,729,11,66,99,A,A,B,A,B,B,A,A,A
66,WALTON,62,54,44,67,58,52,67,80,71,82,57,694,11,63,99,A,B,B,B,A,B,B,A,A
67,WASHINGTON,54,53,46,58,56,44,54,63,74,78,56,636,11,58,99,B,B,C,B,C,C,C,B,C
