2008-2009 Alternative School Improvement Rating,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Legend for School Types: 01=Elementary; 02=Middle; 03=High; 04=Combination,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
District-School Number,District Number,District Name,School Number,School Name,% Making Reading Gains in 2009,% Making Reading Gains in 2008,Difference in Reading Gains between 2009 and 2008,"Improving, Maintaining, or Declining in Reading",% Making Math Gains in 2009,% Making Math Gains in 2008,Difference in Math Gains between 2009 and 2008,"Improving, Maintaining, or Declining in Math",Percent Tested,Final Improvement Rating,Improvement Rating 08,Grade 08,Grade 07,Grade 06,Grade 05,Grade 04,Grade 03,Charter,School Type,Minority Rate,Free or Reduced Lunch Rate,Region
010953,01,ALACHUA,0953,CARING & SHARING LEARNING SCHOOL,71,62,9,IMPROVING,81,52,29,IMPROVING,100,IMPROVING,,,P,D,F,D,,YES,01,98,88,2
030271,03,BAY,0271,A. D. HARRIS HIGH SCHOOL,30,48,-18,DECLINING,48,75,-27,DECLINING,94,DECLINING,IMPROVING,,P,P,F,P,,NO,03,68,71,1
030561,03,BAY,0561,HANEY TECHNICAL HIGH SCHOOL,35,73,-38,DECLINING,68,81,-13,DECLINING,98,DECLINING,DECLINING,,P,D,D,D,,NO,03,14,46,1
030761,03,BAY,0761,EMERALD BAY ACADEMY,43,50,-7,DECLINING,63,58,5,IMPROVING,98,DECLINING,MAINTAINING,,P,P,D,,,NO,04,29,79,1
060405,06,BROWARD,0405,LANIER-JAMES EDUCATION CENTER,35,50,-15,DECLINING,37,47,-10,DECLINING,99,DECLINING,I,,P,P,F,P,,NO,04,87,75,3
060653,06,BROWARD,0653,PINE RIDGE ALTERNATIVE CENTER,32,36,-4,MAINTAINING,59,64,-5,DECLINING,97,DECLINING,IMPROVING,,P,P,F,,,NO,04,92,87,3
062123,06,BROWARD,2123,CYPRESS RUN ALTERNATIVE/ESE,49,54,-5,DECLINING,34,55,-21,DECLINING,91,DECLINING,I,,,,,,,NO,04,83,73,3
063651,06,BROWARD,3651,DAVE THOMAS EDUCATION CENTER,32,42,-10,DECLINING,49,58,-9,DECLINING,91,DECLINING,I,,P,P,F,P,,NO,04,91,73,3
065331,06,BROWARD,5331,FLORIDA HIGH SCHOOL FOR ACCELERATED LEARNERS (SOUTH BROWARD),,,,,,,,,60,I,,,,,,,,YES,03,91,35,3
065341,06,BROWARD,5341,FLORIDA HIGH SCHOOL FOR ACCELERATED LEARNERS (NORTH BROWARD),,,,,,,,,80,I,,,,,,,,YES,03,80,36,3
065351,06,BROWARD,5351,FLORIDA HIGH SCHOOL FOR ACCELERATED LEARNERS BROWARD,,,,,,,,,64,I,,,,,,,,YES,03,96,55,3
065365,06,BROWARD,5365,LIFE SKILLS BROWARD COUNTY,,,,,,,,,61,I,I,,,,,,,YES,03,89,48,3
119004,11,COLLIER,9004,IMMOKALEE TEEN PARENTING PROG,70,40,30,IMPROVING,60,40,20,IMPROVING,100,IMPROVING,,,,,,,,NO,04,99,93,4
119007,11,COLLIER,9007,NEW BEGINNINGS ALTERNATIVE,34,28,6,IMPROVING,46,39,7,IMPROVING,93,IMPROVING,,,,,,,,NO,04,100,89,4
119010,11,COLLIER,9010,NEW BEGINNINGS - NAPLES,77,45,32,IMPROVING,74,63,11,IMPROVING,100,IMPROVING,MAINTAINING,,P,P,C,P,,NO,04,70,87,4
120221,12,COLUMBIA,0221,CHALLENGE LEARNING CENTER,35,43,-8,DECLINING,31,67,-36,DECLINING,91,DECLINING,DECLINING,,,,,,,NO,04,64,87,2
137015,13,DADE,7015,LIFE SKILLS CENTER MIAMI-DADE COUNTY,16,41,-25,DECLINING,38,59,-21,DECLINING,90,DECLINING,I,,,,,,,YES,03,96,49,5
137017,13,DADE,7017,LIFE SKILLS CENTER OPA LOCKA,,,,,,,,,45,I,I,,,,,,,YES,03,99,52,5
171271,17,ESCAMBIA,1271,O.A.S.I.S HIGH SCHOOL PREPARATORY ACADEMY,69,51,18,IMPROVING,53,42,11,IMPROVING,100,IMPROVING,IMPROVING,,P,F,,,,NO,02,63,85,1
172081,17,ESCAMBIA,2081,ESCAMBIA CHARTER SCHOOL,20,41,-21,DECLINING,51,71,-20,DECLINING,97,DECLINING,DECLINING,,,,,,,YES,03,81,79,1
200231,20,GADSDEN,0231,CARTER PARRAMORE ACADEMY,31,31,0,MAINTAINING,33,53,-20,DECLINING,90,DECLINING,I,,P,P,,,C,NO,04,99,95,1
320212,32,JACKSON,0212,JACKSON ALTERNATIVE SCHOOL,43,51,-8,DECLINING,55,50,5,IMPROVING,94,DECLINING,DECLINING,,,,,,,NO,04,54,84,1
359018,35,LAKE,9018,ALEE ACADEMY CHARTER SCHOOL,19,46,-27,DECLINING,43,53,-10,DECLINING,96,DECLINING,DECLINING,,P,P,F,,,YES,03,37,58,3
371411,37,LEON,1411,LIFE SKILLS CENTER,,,,,,,,,76,I,I,,,,,,,YES,03,83,49,1
410212,41,MANATEE,0212,CENTRAL HIGH SCHOOL,27,46,-19,DECLINING,55,67,-12,DECLINING,96,DECLINING,MAINTAINING,,P,F,F,,,NO,03,71,65,4
412007,41,MANATEE,2007,JUST FOR GIRLS,65,58,7,IMPROVING,52,58,-6,DECLINING,100,DECLINING,MAINTAINING,,,,,,,NO,02,64,82,4
412062,41,MANATEE,2062,FLORIDA SHERIFF'S YOUTH RANCH,46,31,15,IMPROVING,79,43,36,IMPROVING,94,IMPROVING,,,,,,,,NO,04,35,95,4
