2009-2010 Alternative School Improvement Rating,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Legend for School Types: 01=Elementary; 02=Middle; 03=High; 04=Combination,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
District-School Number,District Number,District Name,School Number,School Name,% Making Reading Gains in 2010,% Making Reading Gains in 2009,Difference in Reading Gains between 2010 and 2009,"Improving, Maintaining, or Declining in Reading",% Making Math Gains in 2010,% Making Math Gains in 2009,Difference in Math Gains between 2010 and 2009,"Improving, Maintaining, or Declining in Math",Percent Tested,Final Improvement Rating,Improvement Rating 09,Improvement Rating 08,Grade_09 ,Grade 08,Grade 07,Grade 06,Grade 05,Grade 04,Grade 03,Charter,School Type,Minority Rate,Free or Reduced Lunch Rate,Region
010953,01,ALACHUA,0953,CARING & SHARING LEARNING SCHOOL,42,63,-21,DECLINING,42,92,-50,DECLINING,100,DECLINING,IMPROVING,,,,P,D,F,D,,YES,01,97,90,2
030581,03,BAY,0581,ROSENWALD HIGH SCHOOL,23,45,-22,DECLINING,46,59,-13,DECLINING,100,DECLINING,,,,,,,,,,NO,03,60,67,1
060405,06,BROWARD,0405,LANIER-JAMES EDUCATION CENTER,44,50,-6,DECLINING,59,29,30,IMPROVING,100,DECLINING,DECLINING,,,,P,P,F,P,,NO,04,82,73,5
065331,06,BROWARD,5331,DOLPHIN PARK HIGH,,,,,,,,,62,I,,,,,,,,,,YES,03,89,40,5
065341,06,BROWARD,5341,NORTH UNIVERSITY HIGH,,,,,,,,,68,I,,,,,,,,,,YES,03,80,40,5
065351,06,BROWARD,5351,LAUDERHILL HIGH,,,,,,,,,53,I,,,,,,,,,,YES,03,97,64,5
065365,06,BROWARD,5365,LIFE SKILLS BROWARD COUNTY,,,,,,,,,68,I,,,,,,,,,,YES,03,89,56,5
119004,11,COLLIER,9004,IMMOKALEE TEEN PARENTING PROG,18,59,-41,DECLINING,53,76,-23,DECLINING,100,DECLINING,IMPROVING,,,,,,,,,NO,04,95,89,4
119007,11,COLLIER,9007,NEW BEGINNINGS ALTERNATIVE,56,48,8,IMPROVING,65,39,26,IMPROVING,98,IMPROVING,IMPROVING,,,,,,,,,NO,04,96,89,4
119010,11,COLLIER,9010,NEW BEGINNINGS - NAPLES,56,62,-6,DECLINING,67,63,4,MAINTAINING,98,DECLINING,IMPROVING,MAINTAINING,,,P,P,C,P,,NO,04,63,85,4
137015,13,DADE,7015,LIFE SKILLS CENTER MIAMI-DADE COUNTY,,,,,,,,,84,I,DECLINING,,,,,,,,,YES,03,97,53,5
137017,13,DADE,7017,LIFE SKILLS CENTER OPA LOCKA,,,,,,,,,63,I,,,,,,,,,,YES,03,100,50,5
