2010-2011 Alternative School Improvement Rating,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Legend for School Types: 01=Elementary; 02=Middle; 03=High; 04=Combination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
District-School Number,District Number,District Name,School Number,School Name,% Making Reading Gains in 2011,% Making Reading Gains in 2010,Difference in Reading Gains between 2011 and 2010,"Improving, Maintaining, or Declining in Reading",% Making Math Gains in 2011,% Making Math Gains in 2010,Difference in Math Gains between 2011 and 2010,"Improving, Maintaining, or Declining in Math",Percent Tested,Final Improvement Rating,Improvement Rating 10,Improvement Rating 09,Improvement Rating 08,Grade 10,Grade 09,Grade 08,Grade 07,Grade 06,Grade 05,Grade 04,Grade 03,Charter,School Type,Minority Rate,Free or Reduced Lunch Rate,Region
010953,01,ALACHUA,0953,CARING & SHARING LEARNING SCHOOL,44,70,-26,DECLINING,67,70,-3,MAINTAINING,100,DECLINING,DECLINING,IMPROVING,,,,,P,D,F,D,,YES,01,98,90,2
010991,01,ALACHUA,0991,"FLORIDA SIATECH AT GAINESVILLE,INC.",,,,,,,,,49,I,,,,,,,,,,,,YES,03,78,4,2
030581,03,BAY,0581,ROSENWALD HIGH SCHOOL,30,40,-10,DECLINING,51,60,-9,DECLINING,95,DECLINING,DECLINING,,,,,,,,,,,NO,03,60,79,1
030591,03,BAY,0591,C C WASHINGTON ACADEMY,48,44,4,MAINTAINING,63,45,18,IMPROVING,94,MAINTAINING,,,,,,,,,,,,NO,02,50,90,1
060405,06,BROWARD,0405,LANIER-JAMES EDUCATION CENTER,50,43,7,IMPROVING,30,40,-10,DECLINING,100,DECLINING,DECLINING,DECLINING,,,,,P,P,F,P,,NO,04,86,84,5
060653,06,BROWARD,0653,PINE RIDGE ALTERNATIVE CENTER,50,67,-17,DECLINING,64,73,-9,DECLINING,100,DECLINING,,DECLINING,IMPROVING,,,,P,P,F,,,NO,04,87,85,5
063651,06,BROWARD,3651,DAVE THOMAS EDUCATION CENTER,44,50,-6,DECLINING,62,46,16,IMPROVING,90,DECLINING,,DECLINING,,,,,P,P,F,P,,NO,04,92,84,5
065331,06,BROWARD,5331,DOLPHIN PARK HIGH,,,,,,,,,74,I,,,,,,,,,,,,YES,03,88,44,5
065341,06,BROWARD,5341,NORTH UNIVERSITY HIGH,,,,,,,,,88,I,,,,,,,,,,,,YES,03,79,52,5
065351,06,BROWARD,5351,LAUDERHILL HIGH,,,,,,,,,71,I,,,,,,,,,,,,YES,03,98,72,5
065365,06,BROWARD,5365,LIFE SKILLS BROWARD COUNTY,12,24,-12,DECLINING,21,57,-36,DECLINING,97,DECLINING,,,,,,,,,,,,YES,03,85,61,5
065481,06,BROWARD,5481,MAVERICKS HIGH OF CENTRAL BROWARD COUNTY,,,,,,,,,71,I,,,,,,,,,,,,YES,03,94,71,5
100111,10,CLAY,0111,R. C. BANNERMAN LEARNING CENTER,45,60,-15,DECLINING,53,53,0,MAINTAINING,95,DECLINING,,,,,,,,,,,,NO,04,38,81,2
119004,11,COLLIER,9004,IMMOKALEE TEEN PARENTING PROG,29,29,0,MAINTAINING,64,82,-18,DECLINING,100,DECLINING,DECLINING,IMPROVING,,,,,,,,,,NO,04,88,87,4
119007,11,COLLIER,9007,NEW BEGINNINGS ALTERNATIVE,22,72,-50,DECLINING,53,35,18,IMPROVING,96,DECLINING,IMPROVING,IMPROVING,,,,,,,,,,NO,04,97,93,4
119010,11,COLLIER,9010,NEW BEGINNINGS - NAPLES,58,49,9,IMPROVING,61,61,0,MAINTAINING,98,MAINTAINING,DECLINING,IMPROVING,MAINTAINING,,,,P,P,C,P,,NO,04,58,85,4
137015,13,DADE,7015,LIFE SKILLS CENTER MIAMI-DADE COUNTY,,,,,,,,,75,I,,DECLINING,,,,,,,,,,YES,03,98,54,5
137062,13,DADE,7062,MAVERICKS HIGH OF NORTH MIAMI DADE COUNTY,,,,,,,,,83,I,,,,,,,,,,,,YES,03,97,50,5
137065,13,DADE,7065,MAVERICKS HIGH OF SOUTH MIAMI DADE COUNTY,,,,,,,,,77,I,,,,I,,,,,,,,YES,03,89,56,5
137860,13,DADE,7860,SECONDARY STUDENT SUCCESS CENTER 801,28,56,-28,DECLINING,38,85,-47,DECLINING,100,DECLINING,,,,,,,,,,,,NO,04,97,86,5
137861,13,DADE,7861,SECONDARY STUDENT SUCCESS CENTER 802,19,62,-43,DECLINING,59,36,23,IMPROVING,93,DECLINING,,,,,,,,,,,,NO,04,100,97,5
138019,13,DADE,8019,ACADEMY FOR COMMUNITY EDUCATION (ACE),34,48,-14,DECLINING,48,43,5,IMPROVING,96,DECLINING,,,,,,,,P,F,P,,NO,03,96,80,5
138101,13,DADE,8101,YOUNG WOMENS ACADEMY FOR ACADEMIC AND CIVIC DEVELOPMENT AT JAN MANN OPPORTUNITY SCHOOL,40,53,-13,DECLINING,62,23,39,IMPROVING,100,DECLINING,,,,,,,P,P,F,P,,NO,04,100,88,5
138119,13,DADE,8119,THE 500 ROLE MODEL ACADEMY,32,29,3,MAINTAINING,41,47,-6,DECLINING,91,DECLINING,,,DECLINING,F,F,,P,P,F,P,,NO,04,100,96,5
138121,13,DADE,8121,COPE CENTER NORTH,15,51,-36,DECLINING,77,55,22,IMPROVING,91,DECLINING,,,,F,,,,P,F,P,,NO,04,99,94,5
138131,13,DADE,8131,DOROTHY M. WALLACE COPE CENTER,15,48,-33,DECLINING,36,45,-9,DECLINING,95,DECLINING,,,DECLINING,,F,,P,P,F,,,NO,04,91,95,5
138161,13,DADE,8161,CORPORATE ACADEMY NORTH,46,23,23,IMPROVING,71,58,13,IMPROVING,100,IMPROVING,,,DECLINING,,F,,P,P,F,P,,NO,03,100,88,5
170211,17,ESCAMBIA,0211,CAMELOT ACADEMY OF ESCAMBIA COUNTY,27,46,-19,DECLINING,38,45,-7,DECLINING,95,DECLINING,,,,,,,,D,D,P,,NO,04,83,92,1
172104,17,ESCAMBIA,2104,JACKIE HARRIS PREPARATORY ACADEMY,22,56,-34,DECLINING,6,67,-61,DECLINING,100,DECLINING,,,,C,A,B,C,P,C,C,N,YES,01,100,89,1
180014,18,FLAGLER,0014,PATHWAYS ACADEMY,32,48,-16,DECLINING,46,46,0,MAINTAINING,91,DECLINING,DECLINING,,,,,,,,,,,NO,04,47,83,2
