2011-2012 Alternative School Improvement Rating,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Legend for School Types: 01=Elementary; 02=Middle; 03=High; 04=Combination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
District-School Number,District Number,District Name,School Number,School Name,% Making Reading Gains in 2012,% Making Reading Gains in 2011,Difference in Reading Gains between 2012 and 2011,"Improving, Maintaining, or Declining in Reading",% Making Math Gains in 2012,% Making Math Gains in 2011,Difference in Math Gains between 2012 and 2011,"Improving, Maintaining, or Declining in Math",Percent Tested,Final Improvement Rating,Improvement Rating 11,Improvement Rating 10,Improvement Rating 09,Improvement Rating 08,Grade 11,Grade 10,Grade 09,Grade 08,Grade 07,Grade 06,Grade 05,Grade 04,Grade 03,Charter,School Type,Minority Rate,Free or Reduced Lunch Rate,Region,ESE Center
010052,01,ALACHUA,0052,A.QUINN JONES/EXCEP.STUDENT CENTER,47,34,13,IMPROVING,29,54,-25,DECLINING,95,DECLINING,,,,,,,,,,,,,,NO,04,73,82,2,YES
010412,01,ALACHUA,0412,HORIZON CENTER. ALTERNATIVE SCHOOL,,,,,,,,,71,I,,,,,,,,,,,,,,NO,04,86,88,2,NO
030241,03,BAY,0241,ST. ANDREW SCHOOL,44,31,13,IMPROVING,47,27,20,IMPROVING,94,IMPROVING,,,,,,,,,,,,,,NO,01,37,90,1,YES
030281,03,BAY,0281,MARGARET K. LEWIS EXCEPTIONAL SCHOOL,55,25,30,IMPROVING,61,17,44,IMPROVING,98,IMPROVING,,,,,,,,,,,,,,NO,04,29,72,1,YES
030531,03,BAY,0531,NEW HORIZONS LEARNING CENTER,,,,,,,,,83,I,,,,,,,,,,,,,,NO,04,26,79,1,YES
030581,03,BAY,0581,ROSENWALD HIGH SCHOOL,,,,,,,,,89,I,DECLINING,DECLINING,,,,,,,,,,,,NO,04,60,81,1,NO
030591,03,BAY,0591,C C WASHINGTON ACADEMY,,,,,,,,,89,I,MAINTAINING,,,,,,,,,,,,,NO,02,45,90,1,NO
060422,06,BROWARD,0422,SUNSET SCHOOL,62,46,16,IMPROVING,47,35,12,IMPROVING,93,IMPROVING,,,,,,,,,,,,,,NO,04,73,84,5,YES
060871,06,BROWARD,0871,BRIGHT HORIZONS,32,24,8,IMPROVING,31,26,5,IMPROVING,98,IMPROVING,,,,,,,,,,,,,,NO,04,63,61,5,YES
060991,06,BROWARD,0991,WINGATE OAKS CENTER,47,40,7,IMPROVING,35,47,-12,DECLINING,98,DECLINING,,,,,,,,,,,,,,NO,04,82,70,5,YES
