2012-2013 Alternative School Improvement Rating,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Legend for School Types: 01=Elementary; 02=Middle; 03=High; 04=Combination,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
District-School Number,District Number,District Name,School Number,School Name,% Making Reading Gains in 2013,% Making Reading Gains in 2012,Difference in Reading Gains between 2013 and 2012,"Improving, Maintaining, or Declining in Reading",% Making Math Gains in 2013,% Making Math Gains in 2012,Difference in Math Gains between 2013 and 2012,"Improving, Maintaining, or Declining in Math",Percent Tested,Final Improvement Rating,Improvement Rating 12,Improvement Rating 11,Improvement Rating 10,Improvement Rating 09,Improvement Rating 08,Grade 12,Grade 11,Grade 10,Grade 09,Grade 08,Grade 07,Grade 06,Grade 05,Grade 04,Grade 03,Charter,School Type,Minority Rate,Free or Reduced Lunch Rate,Region,ESE Center,
010052,01,ALACHUA,0052,A.QUINN JONES/EXCEP.STUDENT CENTER,,,,,,,,,86,I,DECLINING,,,,,,,,,,,,,,,NO,04,73,89,2,YES,
010412,01,ALACHUA,0412,HORIZON CENTER. ALTERNATIVE SCHOOL,44,39,5,IMPROVING,43,24,19,IMPROVING,93,IMPROVING,,,,,,,,,,,,,,,,NO,04,86,92,2,NO,
030241,03,BAY,0241,ST. ANDREW SCHOOL,56,38,18,IMPROVING,60,13,47,IMPROVING,91,IMPROVING,IMPROVING,,,,,,,,,,,,,,,NO,01,38,88,1,YES,
030281,03,BAY,0281,MARGARET K. LEWIS IN MILLVILLE,47,55,-8,DECLINING,61,49,12,IMPROVING,99,DECLINING,IMPROVING,,,,,,,,,,,,,,,NO,04,27,73,1,YES,
030531,03,BAY,0531,NEW HORIZONS LEARNING CENTER,,,,,,,,,81,I,,,,,,,,,,,,,,,,NO,04,34,91,1,YES,
030581,03,BAY,0581,ROSENWALD HIGH SCHOOL,,,,,,,,,80,I,,DECLINING,DECLINING,,,,,,,,,,,,,NO,04,58,82,1,NO,
030591,03,BAY,0591,C C WASHINGTON ACADEMY,,,,,,,,,87,I,,MAINTAINING,,,,,,,,,,,,,,NO,02,38,89,1,NO,
050089,05,BREVARD,0089,FIELDSTON PREPARATORY SCHOOL,32,56,-24,DECLINING,46,46,0,MAINTAINING,90,DECLINING,,,,,,,,,,,,,,,,NO,04,46,77,3,YES,
051029,05,BREVARD,1029,RIVERDALE COUNTRY DAY SCHOOL,42,42,0,MAINTAINING,49,29,20,IMPROVING,92,MAINTAINING,,,,,,F,,,,,,,,,,NO,04,47,85,3,YES,
051032,05,BREVARD,1032,HORACE MANN ACADEMY,,,,,,,,,88,I,,,,,,F,,,,,,,,,,NO,04,45,83,3,YES,
