,Year,COUNTY NAME,TOTAL ARRESTS,JUVENILE POP,CRIME RATE
0,1998,Alachua,1854,44683,4.149229013271266
1,1998,Baker,114,6129,1.8600097895252081
2,1998,Bay,1898,36257,5.2348512011473645
3,1998,Bradford,62,5861,1.0578399590513563
4,1998,Brevard,4721,104005,4.539204845920869
5,1998,Broward,13563,364578,3.720191563945164
6,1998,Calhoun,115,3073,3.7422713960299383
7,1998,Charlotte,974,21834,4.460932490610974
8,1998,Citrus,873,19980,4.36936936936937
9,1998,Clay,1558,38547,4.041819078008665
10,1998,Collier,2670,46432,5.750344589937974
11,1998,Columbia,552,14167,3.8963789087315592
12,1998,Desoto,256,7140,3.5854341736694675
13,1998,Dixie,78,3155,2.472266244057052
14,1998,Duval,7328,204205,3.588550721089102
15,1998,Escambia,2733,71392,3.8281600179291795
16,1998,Flagler,318,8442,3.7668798862828714
17,1998,Franklin,128,2115,6.052009456264775
18,1998,Gadsden,219,12291,1.7817915547961922
19,1998,Gilchrist,27,3459,0.7805724197745013
20,1998,Glades,33,2229,1.4804845222072678
21,1998,Gulf,100,2905,3.4423407917383817
22,1998,Hamilton,123,3200,3.84375
23,1998,Hardee,185,7275,2.542955326460481
24,1998,Hendry,137,10571,1.2959984864251253
25,1998,Hernando,700,24272,2.883981542518128
26,1998,Highlands,618,16429,3.761641000669548
27,1998,Hillsborough,10826,245228,4.414667166881433
28,1998,Holmes,67,4421,1.5154942320741913
29,1998,Indian River,925,21054,4.393464424812387
30,1998,Jackson,125,10673,1.1711796121053124
31,1998,Jefferson,98,3154,3.1071655041217503
32,1998,Lafayette,14,1438,0.9735744089012517
33,1998,Lake,1884,40468,4.655530295542157
34,1998,Lee,2714,83001,3.269840122408164
35,1998,Leon,3389,51290,6.607525833495808
36,1998,Levy,240,7901,3.037590178458423
37,1998,Liberty,10,1586,0.6305170239596469
38,1998,Madison,58,4774,1.2149141181399248
39,1998,Manatee,517,52131,0.9917323665381443
40,1998,Marion,2704,54197,4.989206044615015
41,1998,Martin,1334,22909,5.823038980313414
42,1998,Miami-Dade,20429,547051,3.7343867390791723
43,1998,Monroe,463,14099,3.283920845450032
44,1998,Nassau,355,14279,2.4861684991946214
45,1998,Okaloosa,1220,42577,2.8653968104845338
46,1998,Okeechobee,300,9044,3.3171163202122953
47,1998,Orange,7093,216625,3.2743219849971146
48,1998,Osecola,1105,42814,2.5809314710141544
49,1998,Palm Beach,6886,231514,2.9743341655364257
50,1998,Pasco,1749,66273,2.6390837897786428
51,1998,Pinellas,8898,175918,5.0580384042565285
52,1998,Polk,3948,115965,3.4044754882938815
53,1998,Putnam,218,17704,1.2313601446000904
54,1998,Santa Rosa,582,26934,2.1608376030296284
55,1998,Sarasota,1538,42908,3.584413163046518
56,1998,Seminole,2568,30698,8.365365821877646
57,1998,St. Johns,411,51775,0.7938194109126027
58,1998,St. Lucie,1392,90650,1.5355763927192498
59,1998,Sumter,251,8348,3.0067081935793003
60,1998,Suwannee,218,8307,2.624292765137836
61,1998,Taylor,118,4848,2.433993399339934
62,1998,Union,27,2918,0.9252912954078136
63,1998,Volusia,4635,88285,5.250042476071813
64,1998,Wakulla,211,5612,3.7598004276550254
65,1998,Walton,204,8675,2.351585014409222
66,1998,Washington,27,4890,0.5521472392638037
0,1999,Alachua,2137,44252,4.829160263942873
1,1999,Baker,151,6087,2.480696566453097
2,1999,Bay,1555,36089,4.30879215273352
3,1999,Bradford,67,5788,1.1575673807878368
4,1999,Brevard,6552,104467,6.271837039447864
5,1999,Broward,13129,375035,3.500739930939779
6,1999,Calhoun,54,3040,1.776315789473684
7,1999,Charlotte,767,22084,3.4731026987864517
8,1999,Citrus,587,20244,2.8996245801225053
9,1999,Clay,1420,39125,3.6293929712460065
10,1999,Collier,2620,48827,5.365883629958834
11,1999,Columbia,533,14265,3.7364178058184363
12,1999,Desoto,202,7251,2.785822645152393
13,1999,Dixie,58,3119,1.8595703751202306
14,1999,Duval,7377,205259,3.5939958783780495
15,1999,Escambia,2852,70127,4.066907182682847
16,1999,Flagler,258,8691,2.968588194684156
17,1999,Franklin,19,2027,0.9373458312777503
18,1999,Gadsden,265,12140,2.182866556836903
19,1999,Gilchrist,40,3467,1.1537352177675224
20,1999,Glades,34,2279,1.491882404563405
21,1999,Gulf,109,2859,3.8125218607904863
22,1999,Hamilton,100,3159,3.165558721114277
23,1999,Hardee,129,7389,1.7458384084449858
24,1999,Hendry,142,10743,1.3217909336312017
25,1999,Hernando,722,24536,2.9426149331594393
26,1999,Highlands,589,16612,3.545629665302191
27,1999,Hillsborough,10811,250252,4.320045394242603
28,1999,Holmes,128,4386,2.918376652986776
29,1999,Indian River,841,21453,3.920197641355521
30,1999,Jackson,181,10529,1.719061639281983
31,1999,Jefferson,86,3044,2.8252299605781865
32,1999,Lafayette,17,1480,1.1486486486486487
33,1999,Lake,2160,41712,5.178365937859609
34,1999,Lee,3383,84894,3.984969491365703
35,1999,Leon,1821,51044,3.567510383198809
36,1999,Levy,179,8070,2.2180916976456007
37,1999,Liberty,22,1564,1.4066496163682864
38,1999,Madison,100,4777,2.0933640360058616
39,1999,Manatee,1496,53447,2.799034557599117
40,1999,Marion,3190,54946,5.8057001419575585
