counts,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Total
All Counties,3557562,3611711,3654880,3714439,3774624,3820876,3890734,3968178,4022912,4031098,4018372,3997283,3997428,3998773,4008860,4025805,4059034,4109781,4163893,4201983,78628226
Alachua County,44683,44252,43856,43498,43272,42889,42897,43358,44181,44406,44328,44391,44289,44665,44913,45383,46072,46690,47667,47915,893605
Baker County,6129,6087,6156,6129,6278,6248,6398,6569,6793,6885,6996,7114,7024,6991,6885,6763,6752,6735,6877,6826,132635
Bay County,36257,36089,35580,35816,36003,36358,36740,37645,38213,37730,37371,37072,37089,36732,37073,37672,38434,39179,39597,39612,746262
Bradford County,5861,5788,5719,5700,5624,5646,5683,5728,5828,5851,5816,5726,5640,5563,5535,5496,5410,5425,5393,5542,112974
Brevard County,104005,104467,104852,106178,107137,107868,109570,111336,111569,111220,110176,108605,107193,105456,104662,104079,104183,105826,107226,108792,2144400
Broward County,364578,375035,384383,393653,400614,404205,407248,410582,406470,396116,392080,389996,391516,395073,396436,400146,404458,407304,409755,411519,7941167
Calhoun County,3073,3040,3008,2935,2923,3011,2999,3122,3062,3073,3101,3112,3118,3135,3112,3084,3023,3025,2967,2922,60845
Charlotte County,21834,22084,22252,22649,23064,23609,24139,23643,23932,24368,23971,23309,22762,22313,22245,22023,22069,22303,22583,22516,457668
Citrus County,19980,20244,20403,20745,20966,21196,21603,22027,22700,23136,23218,22719,22320,21669,21343,21120,20983,21047,21260,21780,430459
Clay County,38547,39125,39557,40452,41773,42734,44629,46048,48332,49917,50258,50098,50072,49297,48718,48322,48424,48827,49568,50216,924914
Collier County,46432,48827,50421,52701,55266,57464,60046,62455,63681,63587,62940,62431,62631,62609,62695,62898,63640,64169,64479,64749,1194121
Columbia County,14167,14265,14334,14235,14332,14551,14743,15243,15499,15526,15474,15272,15168,14890,14849,14641,14852,14952,15246,15278,297517
De Soto County,7140,7251,7301,7478,7616,7825,7963,7836,7869,7925,7831,7799,7822,7626,7497,7295,7230,7116,7043,7136,150599
Dixie County,3155,3119,3039,3037,3083,3045,3067,3121,3193,3236,3188,3189,3122,3157,3085,3045,3039,3058,3045,3079,62102
Duval County,204205,205259,204684,205937,206873,207700,208226,207906,208556,208026,205917,204181,203271,202998,203331,203849,205359,207348,209977,211784,4125387
Escambia County,71392,70127,69246,68563,67683,66952,67118,66455,66297,65592,64702,64262,64117,63876,64072,64514,64519,64775,65554,65715,1325531
Flagler County,8442,8691,9054,9727,10464,11424,12781,14623,16549,18275,18969,18978,19040,18951,18747,18616,18559,18679,18892,19082,308543
Franklin County,2115,2027,1988,2012,2029,1956,1968,1997,2001,1966,1947,1892,1981,1922,1943,1929,1927,1926,1920,1875,39321
Gadsden County,12291,12140,11880,11699,11580,11519,11357,11318,11276,11422,11386,11173,11181,10842,10663,10464,10258,10204,10183,10122,222958
Gilchrist County,3459,3467,3545,3503,3503,3642,3637,3687,3701,3698,3720,3614,3640,3613,3534,3477,3464,3592,3600,3646,71742
Glades County,2229,2279,2340,2398,2416,2459,2546,2621,2593,2495,2470,2378,2400,2367,2278,2175,2186,2154,2152,2131,47067
Gulf County,2905,2859,2909,2777,2813,2787,2796,2810,2808,2769,2704,2659,2556,2512,2465,2464,2482,2481,2484,2514,53554
Hamilton County,3200,3159,3121,3142,3066,3011,2968,2936,3053,3036,2998,2995,2870,2839,2794,2719,2719,2750,2751,2782,58909
Hardee County,7275,7389,7402,7332,7288,7277,7264,7211,7380,7452,7534,7546,7658,7564,7486,7395,7329,7263,7201,7237,147483
Hendry County,10571,10743,10865,10773,10746,10802,10868,11124,11199,11222,11009,10787,10853,10729,10640,10552,10681,10716,10708,10954,216542
