,COUNTY NAME,Year,TOTALREV,TFEDREV,TSTREV,TLOCREV,TOTALEXP,TCURINST,TCURSSVC,TCURONON,TCAPOUT,TOTAL ARRESTS,JUVENILE POP,CRIME RATE
0,Alachua,2016,9.702166865722573,1.2701245521242108,4.333970312233407,4.0980720013649545,9.340385599727009,4.968435420576694,3.3527384405391567,0.6263436273673435,0.3287152363077973,730,47667,1.5314578219732728
1,Baker,2016,8.530387844862055,0.9654138344662136,6.0653738504598165,1.4996001599360256,8.362055177928829,4.3674530187924825,3.266693322670932,0.5659736105557777,0.14554178328668532,77,6877,1.1196742765740877
2,Bay,2016,9.979338396745977,0.9344156077894964,3.981534142039524,5.063388646916958,9.527590799467262,5.411936215399014,2.6670026276951875,0.5413052085958029,0.7978834455203196,1234,39597,3.1163977068969877
3,Bradford,2016,10.011228945726762,1.5748596381784157,5.697130380536494,2.739238927011853,9.352776044915784,5.072052401746725,3.2436057392389266,0.945414847161572,0.08359326263256395,60,5393,1.112553309846097
4,Brevard,2016,9.96892880721831,1.0373019366197185,4.560299295774648,4.371327574823944,9.390129841549296,5.29252860915493,2.8291840889084505,0.4557245818661972,0.526518485915493,2250,107226,2.098371663589055
5,Broward,2016,9.688173081925543,1.0341659915718435,3.735668789808917,4.918338300544783,9.858456770395916,5.540397921946652,2.8504448193594905,0.6688009572720719,0.4874878297125954,3644,409755,0.889311905894986
6,Calhoun,2016,10.270871143375679,1.3262250453720508,6.753629764065336,2.191016333938294,14.481397459165153,5.0984573502722315,3.5921052631578947,0.7168784029038112,5.073956442831216,21,2967,0.7077856420626896
7,Charlotte,2016,10.582280057281613,1.3878338833198431,2.0918373700267727,7.102608803934998,10.801319967623437,5.319220471950688,3.666645912458751,0.6566216300354897,0.9360562854118673,692,22583,3.064251870876323
8,Citrus,2016,9.428393442622953,1.0896393442622951,3.8311475409836064,4.5076065573770485,9.762754098360656,5.0462295081967214,3.3571147540983612,0.6183606557377049,0.7049180327868853,263,21260,1.2370649106302918
9,Clay,2016,8.926824608330149,0.7686282002292701,5.585485015557619,2.5727113925432605,8.428325781975,5.240269665374748,2.4488782138763034,0.4513073857743327,0.22856051094492055,596,49568,1.2023886378308586
